out,in
44.0,104.0
144.0,108.0
392.0,228.0
468.0,404.0
852.0,648.0
1088.0,756.0
1144.0,948.0
1200.0,1056.0
1120.0,1008.0
980.0,972.0
860.0,848.0
564.0,656.0
604.0,548.0
360.0,492.0
376.0,376.0
356.0,360.0
240.0,252.0
184.0,264.0
124.0,236.0
136.0,196.0
172.0,172.0
184.0,200.0
172.0,124.0
176.0,168.0
160.0,192.0
104.0,200.0
212.0,296.0
212.0,320.0
220.0,320.0
168.0,192.0
152.0,124.0
164.0,188.0
136.0,148.0
108.0,156.0
152.0,136.0
120.0,96.0
148.0,92.0
136.0,124.0
156.0,156.0
264.0,228.0
232.0,212.0
392.0,264.0
424.0,336.0
540.0,444.0
536.0,636.0
616.0,736.0
588.0,804.0
904.0,920.0
848.0,1028.0
1000.0,1156.0
1192.0,1284.0
1244.0,1432.0
1367.0,1825.0
1444.0,1640.0
1572.0,1832.0
1700.0,2308.0
1852.0,2412.0
1952.0,2192.0
2048.0,2280.0
2068.0,2544.0
2180.0,2404.0
2172.0,2336.0
2060.0,2292.0
2212.0,2496.0
2292.0,2452.0
2148.0,1856.0
1900.0,1940.0
2196.0,1608.0
1868.0,1548.0
1692.0,1420.0
1592.0,1376.0
1416.0,1252.0
1408.0,1048.0
1124.0,944.0
1192.0,932.0
1208.0,944.0
1192.0,832.0
1324.0,944.0
1216.0,1024.0
1012.0,1024.0
1324.0,972.0
1028.0,908.0
1036.0,880.0
888.0,732.0
792.0,820.0
697.0,729.0
676.0,696.0
732.0,736.0
572.0,708.0
564.0,708.0
580.0,584.0
476.0,472.0
484.0,420.0
372.0,520.0
328.0,332.0
228.0,288.0
196.0,236.0
180.0,208.0
180.0,184.0
168.0,168.0
120.0,136.0
132.0,100.0
108.0,152.0
100.0,120.0
52.0,84.0
80.0,76.0
28.0,104.0
92.0,80.0
44.0,80.0
72.0,128.0
104.0,144.0
96.0,192.0
104.0,200.0
164.0,220.0
176.0,276.0
188.0,404.0
260.0,348.0
452.0,500.0
501.0,536.0
504.0,388.0
548.0,404.0
708.0,672.0
964.0,864.0
888.0,804.0
1144.0,908.0
1204.0,940.0
1364.0,1240.0
1136.0,1092.0
1420.0,1012.0
1364.0,1184.0
1496.0,1324.0
1336.0,1188.0
1536.0,1148.0
1500.0,1140.0
1800.0,1380.0
1572.0,1476.0
1724.0,1280.0
1816.0,1432.0
1836.0,1508.0
1856.0,1504.0
1936.0,1620.0
2200.0,1608.0
2108.0,1784.0
2064.0,2060.0
2056.0,1872.0
2116.0,2056.0
2184.0,2092.0
2340.0,2284.0
2272.0,2447.0
2232.0,2220.0
2568.0,2432.0
2456.0,2324.0
2176.0,2484.0
2408.0,2536.0
2428.0,2548.0
2104.0,2576.0
2284.0,2360.0
2316.0,2492.0
2316.0,2408.0
2412.0,2504.0
2192.0,2200.0
2212.0,2424.0
2220.0,2588.0
2200.0,2584.0
2372.0,2444.0
2400.0,2888.0
2292.0,2384.0
2032.0,2440.0
1488.0,1864.0
1480.0,1972.0
1576.0,1744.0
1440.0,1604.0
1256.0,1436.0
1216.0,1348.0
1276.0,1408.0
1196.0,1272.0
1172.0,1264.0
1052.0,1208.0
812.0,940.0
1036.0,992.0
796.0,1048.0
830.0,980.0
792.0,892.0
756.0,764.0
804.0,860.0
768.0,740.0
660.0,824.0
628.0,780.0
604.0,672.0
572.0,616.0
512.0,596.0
492.0,552.0
288.0,476.0
378.0,461.0
304.0,468.0
264.0,352.0
240.0,280.0
168.0,272.0
184.0,280.0
136.0,232.0
124.0,240.0
108.0,248.0
112.0,108.0
92.0,148.0
88.0,112.0
72.0,96.0
68.0,104.0
80.0,84.0
108.0,76.0
124.0,100.0
164.0,92.0
168.0,56.0
152.0,92.0
228.0,120.0
248.0,180.0
208.0,212.0
344.0,212.0
408.0,308.0
360.0,484.0
428.0,436.0
408.0,404.0
412.0,376.0
564.0,496.0
520.0,568.0
556.0,612.0
672.0,484.0
1036.0,652.0
1060.0,800.0
1072.0,800.0
1132.0,1040.0
1176.0,1116.0
1232.0,1156.0
1488.0,1004.0
1672.0,1208.0
1524.0,1240.0
1536.0,1548.0
1584.0,1344.0
1980.0,1384.0
1680.0,1560.0
1732.0,1668.0
1796.0,1784.0
1964.0,1976.0
2096.0,1964.0
2056.0,2128.0
2108.0,2126.0
2440.0,2128.0
2312.0,2128.0
2408.0,2420.0
2252.0,2068.0
2388.0,2244.0
2140.0,2388.0
2144.0,2276.0
2124.0,2128.0
2104.0,2364.0
2044.0,2416.0
2012.0,2284.0
2140.0,2136.0
1800.0,2144.0
1660.0,2196.0
1600.0,2256.0
1776.0,2076.0
2040.0,2160.0
1692.0,1840.0
1600.0,1812.0
1468.0,1648.0
1304.0,1440.0
1520.0,1476.0
1332.0,1192.0
1152.0,1304.0
1076.0,1372.0
1060.0,1220.0
1352.0,1160.0
1044.0,1244.0
852.0,1172.0
840.0,976.0
864.0,1008.0
760.0,980.0
800.0,948.0
748.0,860.0
696.0,824.0
808.0,796.0
940.0,948.0
756.0,932.0
636.0,816.0
708.0,716.0
736.0,784.0
584.0,704.0
588.0,640.0
504.0,672.0
596.0,616.0
424.0,552.0
348.0,472.0
268.0,396.0
332.0,400.0
280.0,388.0
204.0,248.0
260.0,260.0
160.0,220.0
168.0,200.0
156.0,164.0
144.0,164.0
131.0,152.0
128.0,140.0
176.0,108.0
128.0,116.0
96.0,120.0
108.0,92.0
60.0,132.0
104.0,100.0
116.0,112.0
128.0,156.0
96.0,152.0
144.0,136.0
164.0,324.0
196.0,292.0
204.0,200.0
196.0,228.0
236.0,176.0
212.0,176.0
300.0,172.0
188.0,196.0
368.0,244.0
508.0,288.0
420.0,428.0
616.0,352.0
868.0,456.0
892.0,828.0
784.0,832.0
900.0,680.0
996.0,812.0
1020.0,1036.0
1188.0,1312.0
1220.0,1164.0
1340.0,1152.0
1264.0,1528.0
1644.0,1520.0
1516.0,1508.0
1788.0,1488.0
