,K097,21,22,81,82,101,102,111
73685,2017-02-06 13:15:00,26.0,52.0,71.0,34.0,3.0,67.0,25.0
73686,2017-02-06 13:30:00,23.0,46.0,64.0,33.0,2.0,65.0,21.0
73687,2017-02-06 13:45:00,34.0,46.0,75.0,36.0,3.0,76.0,35.0
73688,2017-02-06 14:00:00,39.0,44.0,81.0,45.0,0.0,77.0,28.0
73689,2017-02-06 14:15:00,33.0,65.0,81.0,54.0,3.0,67.0,27.0
73690,2017-02-06 14:30:00,35.0,47.0,80.0,45.0,0.0,72.0,32.0
73691,2017-02-06 14:45:00,33.0,47.0,79.0,43.0,1.0,52.0,39.0
73692,2017-02-06 15:00:00,32.0,50.0,75.0,54.0,4.0,69.0,44.0
73693,2017-02-06 15:15:00,30.0,43.0,86.0,61.0,2.0,59.0,35.0
73694,2017-02-06 15:30:00,33.0,49.0,85.0,42.0,1.0,86.0,30.0
73695,2017-02-06 15:45:00,29.0,58.0,106.0,61.0,1.0,66.0,36.0
73696,2017-02-06 16:00:00,22.0,46.0,99.0,37.0,3.0,59.0,45.0
73697,2017-02-06 16:15:00,21.0,44.0,102.0,68.0,2.0,65.0,47.0
73698,2017-02-06 16:30:00,29.0,43.0,104.0,49.0,1.0,70.0,39.0
73699,2017-02-06 16:45:00,22.0,53.0,96.0,45.0,0.0,55.0,52.0
73700,2017-02-06 17:00:00,25.0,45.0,118.0,57.0,1.0,65.0,65.0
73701,2017-02-06 17:15:00,20.0,33.0,109.0,50.0,5.0,67.0,75.0
73702,2017-02-06 17:30:00,15.0,28.0,91.0,38.0,1.0,65.0,64.0
73703,2017-02-06 17:45:00,27.0,43.0,83.0,35.0,0.0,61.0,51.0
73704,2017-02-06 18:00:00,22.0,32.0,72.0,34.0,0.0,61.0,57.0
73705,2017-02-06 18:15:00,22.0,33.0,60.0,30.0,0.0,53.0,39.0
73706,2017-02-06 18:30:00,22.0,36.0,52.0,30.0,0.0,43.0,42.0
73707,2017-02-06 18:45:00,25.0,40.0,58.0,31.0,2.0,53.0,23.0
73708,2017-02-06 19:00:00,28.0,29.0,58.0,24.0,1.0,49.0,30.0
73709,2017-02-06 19:15:00,18.0,24.0,41.0,15.0,2.0,38.0,29.0
73710,2017-02-06 19:30:00,22.0,35.0,54.0,22.0,0.0,38.0,16.0
73711,2017-02-06 19:45:00,21.0,26.0,42.0,18.0,2.0,41.0,25.0
73712,2017-02-06 20:00:00,20.0,28.0,42.0,28.0,0.0,40.0,31.0
73713,2017-02-06 20:15:00,32.0,36.0,44.0,28.0,0.0,31.0,23.0
73714,2017-02-06 20:30:00,17.0,26.0,32.0,17.0,0.0,28.0,13.0
73715,2017-02-06 20:45:00,12.0,21.0,44.0,16.0,0.0,21.0,22.0
73716,2017-02-06 21:00:00,12.0,21.0,45.0,13.0,1.0,29.0,16.0
73717,2017-02-06 21:15:00,23.0,30.0,38.0,23.0,0.0,24.0,15.0
73718,2017-02-06 21:30:00,16.0,21.0,42.0,28.0,1.0,17.0,21.0
73719,2017-02-06 21:45:00,23.0,27.0,45.0,28.0,0.0,22.0,14.0
73720,2017-02-06 22:00:00,15.0,22.0,49.0,28.0,0.0,28.0,20.0
73721,2017-02-06 22:15:00,9.0,11.0,27.0,18.0,1.0,18.0,16.0
73722,2017-02-06 22:30:00,12.0,16.0,33.0,17.0,0.0,29.0,19.0
73723,2017-02-06 22:45:00,10.0,11.0,26.0,15.0,0.0,25.0,12.0
73724,2017-02-06 23:00:00,16.0,17.0,27.0,13.0,0.0,17.0,21.0
73725,2017-02-06 23:15:00,7.0,10.0,19.0,14.0,0.0,20.0,14.0
73726,2017-02-06 23:30:00,9.0,9.0,23.0,12.0,0.0,22.0,19.0
73727,2017-02-06 23:45:00,9.0,11.0,13.0,11.0,1.0,16.0,6.0
73728,2017-02-07 00:00:00,5.0,5.0,14.0,11.0,1.0,22.0,4.0
73729,2017-02-07 00:15:00,4.0,4.0,9.0,13.0,0.0,8.0,2.0
73730,2017-02-07 00:30:00,2.0,1.0,11.0,7.0,0.0,17.0,4.0
73731,2017-02-07 00:45:00,1.0,1.0,7.0,4.0,0.0,9.0,4.0
73732,2017-02-07 01:00:00,4.0,4.0,12.0,10.0,0.0,11.0,3.0
73733,2017-02-07 01:15:00,0.0,0.0,9.0,10.0,0.0,10.0,0.0
73734,2017-02-07 01:30:00,0.0,1.0,4.0,6.0,0.0,7.0,2.0
73735,2017-02-07 01:45:00,0.0,0.0,5.0,5.0,0.0,5.0,1.0
73736,2017-02-07 02:00:00,2.0,3.0,7.0,7.0,0.0,2.0,0.0
73737,2017-02-07 02:15:00,0.0,1.0,3.0,4.0,0.0,3.0,2.0
73738,2017-02-07 02:30:00,0.0,1.0,1.0,3.0,0.0,6.0,0.0
73739,2017-02-07 02:45:00,1.0,2.0,2.0,7.0,1.0,6.0,0.0
73740,2017-02-07 03:00:00,2.0,2.0,4.0,2.0,0.0,5.0,0.0
73741,2017-02-07 03:15:00,0.0,1.0,1.0,3.0,1.0,5.0,0.0
73742,2017-02-07 03:30:00,4.0,6.0,4.0,2.0,0.0,7.0,0.0
73743,2017-02-07 03:45:00,0.0,1.0,1.0,0.0,0.0,3.0,2.0
73744,2017-02-07 04:00:00,1.0,1.0,4.0,5.0,0.0,2.0,1.0
73745,2017-02-07 04:15:00,0.0,0.0,4.0,5.0,0.0,4.0,2.0
73746,2017-02-07 04:30:00,1.0,2.0,5.0,7.0,0.0,3.0,0.0
73747,2017-02-07 04:45:00,3.0,4.0,5.0,6.0,0.0,8.0,3.0
73748,2017-02-07 05:00:00,5.0,8.0,11.0,8.0,0.0,7.0,2.0
73749,2017-02-07 05:15:00,4.0,8.0,23.0,14.0,0.0,15.0,2.0
73750,2017-02-07 05:30:00,10.0,14.0,24.0,16.0,1.0,12.0,2.0
73751,2017-02-07 05:45:00,12.0,14.0,14.0,19.0,1.0,15.0,8.0
73752,2017-02-07 06:00:00,10.0,24.0,27.0,14.0,0.0,14.0,4.0
73753,2017-02-07 06:15:00,22.0,26.0,30.0,15.0,0.0,24.0,6.0
73754,2017-02-07 06:30:00,37.0,40.0,43.0,15.0,0.0,28.0,4.0
73755,2017-02-07 06:45:00,40.0,57.0,42.0,17.0,1.0,55.0,11.0
73756,2017-02-07 07:00:00,59.0,48.0,47.0,17.0,2.0,41.0,8.0
73757,2017-02-07 07:15:00,60.0,54.0,68.0,21.0,0.0,45.0,12.0
73758,2017-02-07 07:30:00,68.0,75.0,48.0,26.0,6.0,57.0,16.0
73759,2017-02-07 07:45:00,74.0,90.0,63.0,25.0,0.0,54.0,21.0
73760,2017-02-07 08:00:00,,,,,,,
73761,2017-02-07 08:15:00,96.0,92.0,63.0,26.0,1.0,72.0,25.0
73762,2017-02-07 08:30:00,73.0,120.0,62.0,32.0,1.0,80.0,21.0
73763,2017-02-07 08:45:00,53.0,59.0,61.0,18.0,0.0,89.0,24.0
73764,2017-02-07 09:00:00,49.0,61.0,44.0,17.0,0.0,70.0,25.0
73765,2017-02-07 09:15:00,40.0,64.0,67.0,50.0,3.0,73.0,29.0
73766,2017-02-07 09:30:00,41.0,58.0,57.0,27.0,3.0,72.0,24.0
73767,2017-02-07 09:45:00,35.0,52.0,57.0,29.0,1.0,74.0,27.0
73768,2017-02-07 10:00:00,34.0,54.0,55.0,26.0,5.0,70.0,22.0
73769,2017-02-07 10:15:00,33.0,55.0,62.0,28.0,1.0,56.0,21.0
73770,2017-02-07 10:30:00,27.0,45.0,56.0,27.0,1.0,82.0,22.0
73771,2017-02-07 10:45:00,33.0,51.0,84.0,40.0,1.0,66.0,32.0
73772,2017-02-07 11:00:00,31.0,44.0,70.0,32.0,2.0,59.0,26.0
73773,2017-02-07 11:15:00,28.0,53.0,79.0,37.0,2.0,67.0,28.0
73774,2017-02-07 11:30:00,32.0,51.0,74.0,35.0,4.0,71.0,31.0
73775,2017-02-07 11:45:00,26.0,53.0,78.0,47.0,0.0,62.0,28.0
73776,2017-02-07 12:00:00,17.0,34.0,79.0,42.0,3.0,60.0,21.0
73777,2017-02-07 12:15:00,25.0,41.0,79.0,46.0,4.0,65.0,42.0
73778,2017-02-07 12:30:00,36.0,44.0,53.0,29.0,2.0,49.0,35.0
73779,2017-02-07 12:45:00,41.0,54.0,82.0,57.0,5.0,89.0,43.0
73780,2017-02-07 13:00:00,29.0,44.0,69.0,34.0,0.0,60.0,22.0
73781,2017-02-07 13:15:00,27.0,37.0,68.0,39.0,3.0,60.0,35.0
73782,2017-02-07 13:30:00,39.0,40.0,77.0,36.0,0.0,67.0,33.0
73783,2017-02-07 13:45:00,41.0,44.0,65.0,39.0,3.0,67.0,28.0
73784,2017-02-07 14:00:00,27.0,53.0,84.0,43.0,2.0,59.0,38.0
73785,2017-02-07 14:15:00,39.0,47.0,92.0,37.0,5.0,62.0,31.0
73786,2017-02-07 14:30:00,31.0,53.0,87.0,55.0,3.0,69.0,35.0
73787,2017-02-07 14:45:00,43.0,43.0,87.0,51.0,3.0,70.0,38.0
73788,2017-02-07 15:00:00,29.0,54.0,82.0,48.0,3.0,60.0,37.0
73789,2017-02-07 15:15:00,33.0,48.0,73.0,33.0,2.0,48.0,33.0
73790,2017-02-07 15:30:00,31.0,50.0,85.0,47.0,4.0,75.0,54.0
73791,2017-02-07 15:45:00,17.0,51.0,96.0,52.0,3.0,88.0,43.0
73792,2017-02-07 16:00:00,26.0,48.0,98.0,59.0,2.0,77.0,42.0
73793,2017-02-07 16:15:00,31.0,54.0,109.0,61.0,2.0,80.0,74.0
73794,2017-02-07 16:30:00,25.0,61.0,109.0,47.0,2.0,56.0,72.0
73795,2017-02-07 16:45:00,18.0,44.0,119.0,62.0,3.0,77.0,75.0
73796,2017-02-07 17:00:00,23.0,45.0,139.0,49.0,2.0,79.0,57.0
73797,2017-02-07 17:15:00,23.0,42.0,106.0,101.0,2.0,77.0,50.0
73798,2017-02-07 17:30:00,19.0,44.0,138.0,91.0,2.0,60.0,74.0
73799,2017-02-07 17:45:00,23.0,42.0,130.0,59.0,2.0,60.0,81.0
73800,2017-02-07 18:00:00,20.0,43.0,128.0,75.0,8.0,58.0,78.0
73801,2017-02-07 18:15:00,23.0,35.0,116.0,48.0,2.0,56.0,84.0
73802,2017-02-07 18:30:00,15.0,38.0,80.0,40.0,4.0,63.0,46.0
73803,2017-02-07 18:45:00,27.0,34.0,61.0,32.0,0.0,52.0,35.0
73804,2017-02-07 19:00:00,29.0,37.0,59.0,31.0,3.0,36.0,33.0
73805,2017-02-07 19:15:00,32.0,42.0,42.0,19.0,1.0,49.0,44.0
73806,2017-02-07 19:30:00,32.0,29.0,41.0,19.0,1.0,38.0,29.0
73807,2017-02-07 19:45:00,21.0,32.0,56.0,19.0,1.0,43.0,31.0
73808,2017-02-07 20:00:00,19.0,27.0,44.0,21.0,0.0,35.0,21.0
73809,2017-02-07 20:15:00,24.0,31.0,46.0,20.0,0.0,39.0,23.0
73810,2017-02-07 20:30:00,23.0,30.0,47.0,23.0,2.0,34.0,18.0
73811,2017-02-07 20:45:00,20.0,27.0,49.0,20.0,2.0,27.0,20.0
73812,2017-02-07 21:00:00,14.0,21.0,39.0,27.0,0.0,27.0,20.0
73813,2017-02-07 21:15:00,20.0,28.0,53.0,28.0,2.0,24.0,17.0
73814,2017-02-07 21:30:00,23.0,23.0,48.0,19.0,1.0,23.0,16.0
73815,2017-02-07 21:45:00,13.0,17.0,51.0,22.0,0.0,18.0,19.0
73816,2017-02-07 22:00:00,12.0,14.0,52.0,27.0,1.0,32.0,19.0
73817,2017-02-07 22:15:00,20.0,24.0,43.0,22.0,0.0,18.0,10.0
73818,2017-02-07 22:30:00,13.0,16.0,23.0,19.0,0.0,23.0,18.0
73819,2017-02-07 22:45:00,10.0,9.0,30.0,16.0,0.0,15.0,11.0
73820,2017-02-07 23:00:00,12.0,17.0,24.0,18.0,1.0,20.0,15.0
73821,2017-02-07 23:15:00,8.0,10.0,34.0,18.0,0.0,19.0,9.0
73822,2017-02-07 23:30:00,9.0,12.0,18.0,10.0,2.0,16.0,11.0
73823,2017-02-07 23:45:00,6.0,3.0,13.0,9.0,0.0,11.0,6.0
73824,2017-02-08 00:00:00,6.0,8.0,11.0,7.0,1.0,11.0,9.0
73825,2017-02-08 00:15:00,6.0,5.0,13.0,12.0,1.0,16.0,3.0
73826,2017-02-08 00:30:00,2.0,4.0,8.0,10.0,0.0,10.0,9.0
73827,2017-02-08 00:45:00,7.0,8.0,12.0,11.0,0.0,9.0,3.0
73828,2017-02-08 01:00:00,1.0,3.0,6.0,6.0,0.0,7.0,4.0
73829,2017-02-08 01:15:00,4.0,4.0,9.0,12.0,0.0,4.0,2.0
73830,2017-02-08 01:30:00,3.0,4.0,5.0,5.0,1.0,8.0,5.0
73831,2017-02-08 01:45:00,3.0,2.0,5.0,5.0,0.0,9.0,1.0
73832,2017-02-08 02:00:00,1.0,2.0,2.0,3.0,0.0,2.0,1.0
73833,2017-02-08 02:15:00,2.0,2.0,6.0,4.0,0.0,2.0,0.0
73834,2017-02-08 02:30:00,2.0,3.0,3.0,3.0,0.0,8.0,2.0
73835,2017-02-08 02:45:00,2.0,2.0,6.0,3.0,0.0,5.0,0.0
73836,2017-02-08 03:00:00,2.0,2.0,3.0,3.0,0.0,7.0,2.0
73837,2017-02-08 03:15:00,1.0,1.0,3.0,4.0,0.0,3.0,0.0
73838,2017-02-08 03:30:00,1.0,1.0,2.0,3.0,0.0,4.0,0.0
73839,2017-02-08 03:45:00,4.0,3.0,3.0,2.0,0.0,2.0,3.0
73840,2017-02-08 04:00:00,2.0,2.0,2.0,5.0,0.0,3.0,0.0
73841,2017-02-08 04:15:00,1.0,1.0,6.0,3.0,0.0,3.0,1.0
73842,2017-02-08 04:30:00,2.0,2.0,7.0,4.0,0.0,4.0,0.0
73843,2017-02-08 04:45:00,4.0,5.0,8.0,7.0,1.0,7.0,1.0
73844,2017-02-08 05:00:00,6.0,7.0,14.0,11.0,1.0,8.0,2.0
73845,2017-02-08 05:15:00,2.0,8.0,13.0,11.0,0.0,8.0,1.0
