,22,51,52,82,111,112
0,86.0,24.0,8.0,109.0,54.0,37.0
1,96.0,26.0,4.0,97.0,41.0,29.0
2,94.0,22.0,13.0,95.0,47.0,37.0
3,106.0,31.0,12.0,93.0,49.0,25.0
4,105.0,23.0,11.0,103.0,43.0,30.0
5,140.0,32.0,15.0,125.0,47.0,47.0
6,117.0,43.0,15.0,142.0,68.0,54.0
7,93.0,39.0,10.0,127.0,44.0,51.0
8,99.0,33.0,10.0,115.0,55.0,47.0
9,97.0,29.0,8.0,109.0,48.0,43.0
10,122.0,29.0,10.0,120.0,56.0,54.0
11,126.0,37.0,13.0,134.0,58.0,52.0
12,105.0,31.0,12.0,128.0,66.0,64.0
13,125.0,26.0,9.0,112.0,63.0,56.0
14,122.0,32.0,9.0,112.0,73.0,65.0
15,112.0,34.0,8.0,118.0,75.0,76.0
16,112.0,20.0,13.0,143.0,70.0,83.0
17,122.0,25.0,12.0,122.0,61.0,79.0
18,102.0,23.0,16.0,138.0,66.0,66.0
19,113.0,23.0,7.0,129.0,58.0,64.0
20,124.0,23.0,7.0,133.0,66.0,56.0
21,91.0,22.0,8.0,111.0,53.0,52.0
22,83.0,18.0,1.0,80.0,50.0,40.0
23,84.0,25.0,4.0,81.0,34.0,28.0
24,86.0,20.0,8.0,96.0,39.0,22.0
25,64.0,17.0,7.0,68.0,41.0,24.0
26,63.0,23.0,10.0,60.0,34.0,31.0
27,59.0,18.0,3.0,68.0,36.0,26.0
28,49.0,10.0,4.0,48.0,34.0,15.0
29,40.0,12.0,3.0,79.0,33.0,15.0
30,57.0,7.0,3.0,58.0,32.0,11.0
31,51.0,8.0,3.0,59.0,28.0,19.0
32,58.0,15.0,0.0,46.0,24.0,12.0
33,37.0,11.0,1.0,59.0,21.0,10.0
34,48.0,14.0,0.0,39.0,26.0,16.0
35,43.0,11.0,3.0,52.0,26.0,15.0
36,36.5,10.5,1.0,44.0,24.0,12.0
37,32.0,9.0,1.0,38.0,24.0,12.0
38,40.0,4.0,0.0,20.0,17.0,11.0
39,28.0,6.0,2.0,33.0,18.0,6.0
40,22.0,3.0,0.0,24.0,19.0,6.0
41,37.0,4.0,1.0,26.0,11.0,8.0
42,12.0,4.0,1.0,14.0,7.0,5.0
43,11.0,3.0,0.0,18.0,5.0,2.0
44,10.0,2.0,1.0,19.0,9.0,1.0
45,12.0,2.0,2.0,14.0,5.0,0.0
46,7.0,1.0,1.0,8.0,2.0,1.0
47,11.0,1.0,0.0,11.0,1.0,1.0
48,6.0,1.0,0.0,15.0,3.0,0.0
49,7.0,1.0,0.0,8.0,2.0,2.0
50,4.0,2.0,1.0,5.0,1.0,0.0
51,8.0,0.0,0.0,9.0,4.0,1.0
52,6.0,0.0,0.0,7.0,1.0,0.0
53,2.0,0.0,0.0,3.0,0.0,0.0
54,8.0,4.0,1.0,5.0,0.0,1.0
55,3.0,0.0,0.0,2.0,1.0,0.0
56,0.0,2.0,0.0,10.0,0.0,0.0
57,3.0,0.0,1.0,3.0,1.0,0.0
58,4.0,1.0,0.0,3.0,1.0,0.0
59,1.0,0.0,0.0,2.0,0.0,0.0
60,2.0,3.0,0.0,0.0,1.0,0.0
61,3.0,0.0,0.0,2.0,0.0,0.0
62,7.0,3.0,0.0,6.0,1.0,0.0
63,3.0,2.0,1.0,2.0,4.0,1.0
64,5.0,2.0,1.0,4.0,2.0,2.0
65,13.0,7.0,1.0,6.0,2.0,1.0
66,11.0,14.0,2.0,4.0,2.0,0.0
67,15.0,12.0,2.0,15.0,3.0,1.0
68,17.0,19.0,3.0,20.0,6.0,2.0
69,40.0,33.0,9.0,30.0,24.0,5.0
70,45.0,50.0,12.0,37.0,17.0,7.0
71,44.0,52.0,16.0,45.0,20.0,11.0
72,77.0,47.0,22.0,69.0,28.0,14.0
73,58.0,73.0,39.0,87.0,32.0,21.0
74,120.0,71.0,55.0,125.0,32.0,25.0
75,105.0,64.0,51.0,95.0,35.0,26.0
76,150.0,67.0,62.0,132.0,43.0,33.0
77,141.0,80.0,89.0,148.0,34.0,41.0
78,123.0,84.0,79.0,154.0,37.0,28.0
79,110.0,65.0,45.0,107.0,37.0,31.0
80,103.0,43.0,23.0,99.0,25.0,22.0
81,107.0,37.0,14.0,77.0,25.0,25.0
82,97.0,26.0,12.0,107.0,38.0,39.0
83,70.0,31.0,16.0,88.0,36.0,32.0
84,79.0,30.0,10.0,86.0,42.0,29.0
85,82.0,34.0,11.0,91.0,43.0,30.0
86,93.0,32.0,11.0,100.0,54.0,37.0
87,87.0,38.0,5.0,86.0,61.0,28.0
88,97.0,17.0,9.0,81.0,34.0,41.0
89,101.0,35.0,18.0,92.0,42.0,35.0
90,94.0,29.0,7.0,91.0,41.0,25.0
91,100.0,33.0,11.0,81.0,35.0,28.0
92,92.0,30.0,13.0,115.0,33.0,29.0
93,102.0,31.0,15.0,103.0,41.0,37.0
94,97.0,30.0,8.0,97.0,56.0,32.0
95,91.0,29.0,10.0,125.0,50.0,51.0
96,92.0,29.0,15.0,123.0,44.0,32.0
97,88.0,31.0,9.0,96.0,38.0,37.0
98,108.0,30.0,12.0,108.0,45.0,40.0
99,96.0,34.0,13.0,104.0,52.0,41.0
100,117.0,36.0,14.0,104.0,47.0,44.0
101,146.0,25.0,12.0,102.0,49.0,51.0
102,125.0,34.0,8.0,125.0,49.0,48.0
103,97.0,32.0,11.0,123.0,51.0,53.0
104,86.0,34.0,10.0,113.0,64.0,60.0
105,117.0,29.0,20.0,133.0,49.0,48.0
106,132.0,28.0,14.0,125.0,60.0,55.0
107,109.0,26.0,7.0,132.0,52.0,50.0
108,123.0,26.0,11.0,118.0,66.0,67.0
109,146.0,30.0,16.0,124.0,76.0,76.0
110,142.0,34.0,11.0,147.0,64.0,74.0
111,128.0,33.0,14.0,142.0,75.0,76.0
