,02_1,02_2,03_1,05_1,05_2,08_1,08_2,09_1,11_1,11_2
0,54.0,43.0,27.0,107.0,102.0,38.0,51.0,27.0,102.0,70.0
1,47.0,51.0,27.0,107.0,105.0,34.0,53.0,23.0,94.0,71.0
2,47.0,50.0,21.0,98.0,98.0,27.0,38.0,32.0,105.0,96.0
3,46.0,58.0,28.0,135.0,121.0,33.0,43.0,25.0,133.0,124.0
4,63.0,58.0,34.0,125.0,110.0,35.0,51.0,35.0,125.0,111.0
5,62.0,64.0,41.0,121.0,127.0,52.0,65.0,30.0,135.0,133.0
6,64.0,76.0,44.0,111.0,107.0,61.0,75.0,23.0,125.0,160.0
7,53.0,49.0,22.0,122.0,106.0,35.0,64.0,31.0,104.0,128.0
8,60.0,48.0,29.0,130.0,126.0,40.0,49.0,30.0,112.0,110.0
9,59.0,46.0,65.0,135.0,149.0,38.0,51.0,24.0,131.0,146.0
10,60.0,68.0,33.0,120.0,98.0,39.0,60.0,25.0,127.0,123.0
11,53.0,63.0,44.0,130.0,116.0,47.0,75.0,30.0,132.0,144.0
12,63.0,56.0,36.0,114.0,114.0,43.0,67.0,30.0,145.0,163.0
13,54.0,65.0,37.0,131.0,135.0,29.0,62.0,21.0,171.0,193.0
14,65.0,50.0,42.0,138.0,121.0,42.0,70.0,34.0,159.0,177.0
15,48.0,49.0,36.0,137.0,139.0,39.0,61.0,28.0,181.0,205.0
16,57.0,73.0,46.0,122.0,117.0,43.0,57.0,37.0,188.0,216.0
17,65.0,62.0,33.0,112.0,105.0,39.0,49.0,46.0,159.0,210.0
18,49.0,45.0,37.0,110.0,100.0,46.0,66.0,19.0,208.0,220.0
19,58.0,56.0,35.0,115.0,94.0,46.0,66.0,22.0,156.0,194.0
20,51.0,63.0,41.0,101.0,87.0,36.0,55.0,26.0,172.0,189.0
21,39.0,53.0,27.0,97.0,77.0,37.0,51.0,27.0,124.0,134.0
22,52.0,51.0,25.0,89.0,83.0,34.0,37.0,19.0,121.0,122.0
23,43.0,34.0,22.0,74.0,65.0,30.0,41.0,14.0,109.0,98.0
24,44.0,44.0,22.0,84.0,72.0,22.0,46.0,13.0,103.0,90.0
25,41.0,31.0,17.0,83.0,62.0,25.0,42.0,15.0,92.0,79.0
26,30.0,35.0,22.0,74.0,63.0,26.0,29.0,16.0,87.0,70.0
27,29.0,30.0,19.0,67.0,44.0,19.0,26.0,10.0,63.0,43.0
28,28.0,29.0,11.0,67.0,47.0,17.0,28.0,11.0,60.0,45.0
29,20.0,24.0,5.0,48.0,18.0,21.0,31.0,10.0,60.0,53.0
30,19.0,31.0,15.0,61.0,28.0,12.0,19.0,9.0,49.0,32.0
31,27.0,28.0,7.0,49.0,27.0,22.0,31.0,5.0,41.0,28.0
32,29.0,29.0,10.0,67.0,43.0,17.0,24.0,7.0,53.0,32.0
33,24.0,19.0,5.0,49.0,21.0,14.0,30.0,15.0,54.0,41.0
