out,in
306.4954954954955,349.5450450450451
261.98198198198196,275.18468468468467
214.92342342342343,203.51351351351352
170.77927927927928,175.13513513513513
134.88738738738738,144.71621621621622
118.49549549549549,107.11711711711712
97.60810810810811,87.05405405405405
80.96846846846847,79.67117117117117
66.63963963963964,67.11261261261261
61.01801801801802,64.51801801801801
49.14414414414414,59.693693693693696
44.58108108108108,56.18468468468468
39.47747747747748,53.61711711711712
38.590090090090094,57.08108108108108
38.54054054054054,59.82432432432432
41.747747747747745,68.24774774774775
39.7027027027027,84.98198198198199
50.171171171171174,107.96396396396396
56.02252252252252,139.04504504504504
66.45045045045045,159.17117117117118
84.67117117117117,183.97297297297297
122.81981981981981,253.72972972972974
168.3963963963964,319.6171171171171
235.57207207207207,380.9594594594595
376.1126126126126,509.65315315315314
673.0495495495495,716.4504504504505
941.8693693693693,895.6756756756756
1089.4144144144145,992.1576576576576
1243.9504504504505,1247.0945945945946
1583.617117117117,1522.8648648648648
1764.7747747747749,1735.9279279279278
1851.7522522522522,1902.5765765765766
1870.7432432432433,1983.9774774774776
1960.981981981982,2104.346846846847
1973.1351351351352,2183.599099099099
1994.3468468468468,2212.9144144144143
1915.2387387387387,2034.7657657657658
1906.2072072072071,1939.8603603603603
1922.5225225225224,1916.6756756756756
1901.554054054054,1872.445945945946
1747.4054054054054,1736.7702702702702
1739.7702702702702,1638.2927927927929
1720.9324324324325,1577.7702702702702
1685.518018018018,1535.1216216216217
1541.5585585585586,1474.2522522522522
1540.8423423423424,1513.545045045045
1564.5225225225224,1526.8603603603603
1586.6666666666667,1531.8333333333333
1511.2567567567567,1553.9864864864865
1557.009009009009,1608.2342342342342
1609.2567567567567,1629.9684684684685
1659.3243243243244,1628.6306306306305
1592.1891891891892,1628.1801801801803
1637.463963963964,1680.8198198198197
1640.8873873873874,1687.2342342342342
1684.6306306306305,1706.9594594594594
1629.337837837838,1715.045045045045
1690.7702702702702,1807.972972972973
1720.9324324324325,1850.7882882882882
1740.2342342342342,1885.6396396396397
1667.9414414414414,1934.6126126126126
1777.3423423423424,2063.6846846846847
