out,in
454.9684684684685,625.472972972973
392.2432432432432,541.7882882882883
361.85585585585585,451.07207207207205
258.8198198198198,371.7567567567568
217.36486486486487,314.2432432432432
183.1216216216216,264.8063063063063
153.65765765765767,224.2117117117117
133.6891891891892,192.27027027027026
126.10810810810811,162.34684684684686
115.88738738738739,147.05855855855856
102.26576576576576,130.99099099099098
90.24774774774775,121.46396396396396
91.75225225225225,107.45045045045045
93.13063063063063,112.36936936936937
96.95045045045045,119.14414414414415
98.490990990991,132.93243243243242
123.25675675675676,132.63963963963963
158.57657657657657,169.2027027027027
189.14864864864865,217.18018018018017
227.1036036036036,283.3063063063063
365.55855855855856,291.5045045045045
500.2117117117117,398.990990990991
712.1396396396397,539.9324324324324
908.8423423423424,608.4324324324324
1298.8423423423424,700.2837837837837
1656.1396396396397,1142.8333333333333
1929.945945945946,1658.5900900900901
2155.427927927928,1676.2072072072071
2433.927927927928,1716.1801801801803
2697.198198198198,2202.4054054054054
2815.0945945945946,2683.824324324324
2873.045045045045,2607.536036036036
2877.8693693693695,2491.927927927928
2933.3153153153153,2617.3783783783783
2881.554054054054,2664.6576576576576
2807.0135135135133,2542.761261261261
2609.612612612613,2326.027027027027
2496.0135135135133,2268.7162162162163
2424.752252252252,2274.671171171171
2338.518018018018,2290.1846846846847
2223.8603603603606,2103.4144144144143
2184.9504504504503,2104.563063063063
2106.126126126126,2125.6441441441443
2033.8468468468468,2164.738738738739
1994.8198198198197,2044.3783783783783
2049.252252252252,2074.608108108108
2061.4774774774774,2149.072072072072
2031.963963963964,2175.738738738739
2038.1711711711712,2131.5315315315315
2174.7972972972975,2251.752252252252
2203.5585585585586,2314.387387387387
2182.265765765766,2327.9234234234236
2200.6171171171172,2271.7027027027025
2308.5765765765764,2378.40990990991
2320.0135135135133,2444.9864864864867
2276.801801801802,2493.0495495495497
2290.1801801801803,2468.8783783783783
2382.1666666666665,2577.536036036036
2414.2162162162163,2663.8513513513512
2379.1441441441443,2715.545045045045
2379.671171171171,2683.054054054054
2479.608108108108,2852.6396396396394
2537.6936936936936,2941.0765765765764
2564.09009009009,3044.5585585585586
2611.945945945946,3010.198198198198
2681.2432432432433,3157.5495495495497
2700.40990990991,3126.1486486486488
2683.6036036036035,3244.963963963964
2693.599099099099,3230.788288288288
2754.009009009009,3321.4594594594596
2584.518018018018,3299.337837837838
2376.864864864865,3353.536036036036
2270.4054054054054,3230.9774774774774
2260.063063063063,3180.400900900901
2062.761261261261,3028.675675675676
1896.518018018018,2878.5675675675675
1769.5675675675675,2763.4324324324325
1729.382882882883,2649.1576576576576
1639.7207207207207,2434.752252252252
1538.8333333333333,2216.3513513513512
1456.581081081081,2013.7387387387387
1421.2882882882882,1909.3513513513512
1342.2162162162163,1804.0765765765766
1242.5945945945946,1664.0315315315315
1228.3288288288288,1513.4324324324325
