,22,51,52,82,111,112
0,88.0,30.0,10.0,98.0,47.0,37.0
1,90.0,30.0,9.0,97.5,46.0,35.0
2,93.0,32.0,11.0,103.0,47.5,37.0
3,95.0,32.0,10.0,96.5,48.0,37.5
4,98.0,34.0,11.0,99.5,49.0,40.0
5,109.0,33.0,11.0,103.0,52.0,46.0
6,109.0,32.0,12.0,114.0,57.0,52.0
7,96.0,33.0,13.0,120.0,55.0,50.0
8,98.0,35.0,14.0,118.0,58.0,48.0
9,97.0,34.0,12.0,115.0,56.0,52.0
10,97.0,31.0,12.0,112.0,63.0,57.0
11,98.5,30.0,10.0,115.0,65.0,61.0
12,103.5,30.5,11.0,110.0,65.0,64.0
13,103.0,31.0,11.0,109.0,69.0,63.0
14,104.0,32.0,11.0,106.0,72.0,71.0
15,105.5,33.0,12.5,115.0,74.5,78.0
16,108.0,30.0,11.0,116.0,75.0,82.0
17,101.0,31.0,12.0,111.0,75.0,83.0
18,97.0,29.0,11.0,115.0,73.0,79.0
19,97.0,29.0,9.0,111.0,71.0,77.0
20,88.0,25.0,7.0,99.0,65.0,63.0
21,81.0,24.0,6.0,90.0,58.0,52.0
22,78.0,23.0,6.0,80.0,52.0,40.0
23,69.0,21.0,5.0,77.0,45.0,36.0
24,71.0,24.0,6.0,73.0,43.0,32.0
25,65.0,21.0,5.0,68.0,43.0,27.0
26,66.0,21.0,4.0,67.0,38.0,27.0
27,62.0,18.0,3.0,61.0,34.0,24.0
28,54.0,15.0,3.0,60.0,33.0,18.0
29,48.0,14.0,3.0,55.0,30.0,18.0
30,48.0,13.0,2.0,54.0,27.0,14.0
31,46.0,13.0,2.0,50.0,25.0,14.0
32,44.0,12.0,2.0,50.0,27.0,14.0
33,39.0,13.0,2.0,46.0,27.0,14.0
34,39.0,11.0,2.0,48.0,26.0,14.0
35,40.0,12.0,2.0,44.0,25.0,13.0
36,36.5,10.5,1.0,44.0,24.0,12.0
37,32.0,9.0,1.0,38.0,24.0,12.0
38,27.0,8.0,1.0,33.0,22.0,11.0
39,24.0,6.0,1.0,33.0,19.0,9.0
40,20.0,5.0,1.0,24.5,14.0,6.0
41,19.0,4.0,0.0,23.0,13.0,5.0
42,17.0,4.0,0.0,21.0,10.0,3.0
43,13.0,3.0,0.0,20.0,9.0,3.0
44,12.0,2.0,0.0,15.0,7.0,2.0
45,10.0,2.0,0.0,13.0,5.0,2.0
46,10.0,2.0,0.0,12.0,4.0,2.0
47,8.0,2.0,0.0,10.0,4.0,1.0
48,7.0,2.0,0.0,9.0,3.0,1.0
49,6.0,1.0,0.0,8.0,3.0,1.0
50,6.0,1.0,0.0,7.0,3.0,1.0
51,6.0,1.0,0.0,7.0,2.0,0.0
52,5.0,1.0,0.0,6.0,2.0,0.0
53,4.0,1.0,0.0,5.0,1.0,0.0
54,3.0,1.0,0.0,5.0,1.0,0.0
55,3.0,0.0,0.0,5.0,1.0,0.0
56,2.0,1.0,0.0,5.0,1.0,0.0
57,2.0,0.0,0.0,4.0,1.0,0.0
58,2.0,1.0,0.0,3.0,1.0,0.0
59,2.0,1.0,0.0,3.0,1.0,0.0
60,3.0,1.0,0.0,2.0,1.0,0.0
61,4.0,1.0,0.0,3.0,1.0,0.0
62,4.0,2.0,0.0,4.0,2.0,1.0
63,6.0,2.0,0.0,5.0,2.0,0.0
64,8.0,5.0,1.0,5.0,2.0,1.0
65,8.0,7.0,1.0,8.0,4.0,1.0
66,12.0,13.0,1.0,12.0,4.0,1.0
67,14.0,12.0,2.0,13.0,6.0,2.0
68,21.0,22.0,4.0,18.0,9.0,3.0
69,34.5,31.0,8.0,27.0,16.0,6.0
70,43.0,41.0,12.0,40.0,20.0,9.5
71,46.0,45.5,14.5,42.5,22.0,9.0
72,54.5,54.0,24.0,55.0,27.0,14.5
73,72.0,61.0,34.0,72.5,33.0,20.0
74,95.0,70.0,48.0,90.0,32.0,25.0
75,105.0,64.0,51.0,95.0,35.0,26.0
76,129.0,65.0,54.0,106.0,41.0,34.0
77,109.0,67.0,66.0,131.0,39.0,33.0
78,112.0,69.0,61.0,119.0,40.0,31.0
79,97.0,58.0,40.0,106.0,38.0,28.0
80,84.0,46.0,25.5,96.5,37.0,28.0
81,85.0,42.0,19.0,92.0,38.0,28.5
82,86.0,39.0,14.0,94.0,41.0,30.0
83,79.0,34.0,13.0,88.0,41.0,29.0
84,79.0,30.0,10.0,86.0,42.0,29.0
85,82.0,34.0,11.0,91.0,43.0,30.0
86,83.0,33.0,11.5,93.5,45.0,32.5
87,85.0,31.0,10.0,86.5,44.0,32.0
88,80.0,28.0,8.0,82.0,42.0,30.0
89,90.0,33.5,11.0,93.0,44.0,32.0
90,88.0,32.0,10.0,97.0,46.0,35.0
91,85.0,32.0,11.0,93.0,45.0,35.0
92,89.0,33.0,12.0,95.0,48.0,37.0
93,86.5,33.0,11.0,99.0,48.0,38.0
94,91.0,31.0,10.0,101.0,49.0,39.0
95,89.0,32.0,10.0,103.5,51.0,40.5
96,88.5,31.0,11.0,98.0,48.0,37.0
97,91.0,32.0,10.0,96.5,49.5,39.0
98,96.5,33.0,11.5,106.0,48.5,39.0
99,94.0,33.0,11.0,101.5,51.5,39.0
100,100.0,34.0,11.0,95.0,50.0,41.0
101,107.5,33.0,12.0,104.5,52.5,45.0
102,105.0,33.0,13.0,115.0,58.0,50.0
103,97.0,33.0,12.0,119.0,57.0,50.5
104,92.0,37.0,15.0,116.0,59.0,53.0
105,100.5,35.0,13.0,116.5,58.0,53.5
106,99.0,32.0,12.5,117.0,62.0,56.5
107,97.0,31.0,12.0,122.0,65.0,62.0
108,106.0,33.0,12.0,111.0,66.0,66.0
109,105.0,33.0,13.0,108.0,70.0,67.0
110,104.0,33.0,13.0,109.5,73.0,73.0
111,108.5,33.0,13.0,121.5,75.5,79.0
112,108.0,31.0,12.0,124.0,77.0,82.0
113,111.0,33.0,14.0,119.0,75.0,83.0
114,105.0,30.0,12.0,116.0,73.0,79.0
