,21,22,31,51,52,61,v071,v081,v082,v091,v092,101,111,112,121
0,47.0,32.0,16.0,67.0,53.0,39.0,36.0,52.0,35.0,54.0,40.0,76.0,59.0,39.0,24.0
1,47.0,32.0,18.0,66.0,52.0,40.0,37.0,55.0,37.0,53.0,39.0,79.0,59.0,42.0,24.0
2,50.0,33.0,17.0,66.0,54.5,38.0,37.0,55.0,39.0,54.0,39.5,81.0,61.0,42.5,25.0
3,47.0,34.0,18.0,63.0,52.0,37.0,40.0,54.0,37.0,55.0,41.0,80.0,63.0,46.0,25.0
4,49.0,36.5,18.0,66.0,56.0,39.0,42.0,56.5,38.0,57.0,43.0,84.0,65.5,50.0,26.0
5,47.0,37.0,21.0,66.0,56.0,37.0,42.0,56.0,39.0,58.0,45.0,87.0,70.0,58.0,27.0
6,50.0,38.0,19.0,65.0,57.0,39.0,43.0,60.0,44.0,57.0,44.0,89.0,69.0,56.0,28.0
7,50.0,41.0,22.0,66.5,57.5,38.0,43.0,58.0,43.5,60.0,47.0,89.0,70.0,56.5,30.0
8,52.0,43.0,22.0,69.5,62.0,39.0,45.5,65.0,44.5,64.0,50.5,90.0,71.0,56.0,31.0
9,51.0,41.0,22.0,70.0,62.5,39.0,45.0,64.5,47.0,65.0,53.5,96.5,79.5,67.0,32.0
10,53.0,44.0,23.0,69.5,65.5,38.0,46.5,66.5,47.5,67.0,55.0,104.0,83.0,74.5,30.5
11,52.0,45.0,24.0,70.0,63.0,38.0,47.0,67.0,51.0,65.0,53.0,108.0,94.0,90.0,35.0
12,54.0,48.0,26.0,68.0,61.0,39.0,49.0,66.0,54.0,63.0,52.0,119.0,100.0,92.0,38.0
13,55.0,49.0,27.0,73.0,65.0,39.0,50.0,67.0,50.0,61.0,50.0,122.0,102.0,99.0,36.0
14,55.0,50.5,27.5,71.0,62.0,40.0,51.5,68.0,50.0,63.0,48.0,116.0,101.5,99.0,37.0
15,54.0,50.0,27.0,71.0,62.0,39.0,53.0,66.0,57.0,62.0,49.0,123.0,105.0,104.0,36.0
16,56.0,53.0,27.0,67.0,55.0,38.0,52.5,70.5,61.0,62.0,51.0,123.0,106.0,103.5,38.0
17,56.0,51.0,26.0,68.0,58.0,38.0,53.0,66.0,54.0,58.0,42.0,119.0,101.0,101.0,37.0
18,56.0,53.0,24.5,64.0,53.0,38.0,47.5,63.0,53.0,55.0,41.0,114.0,93.5,95.5,35.0
19,53.0,48.0,25.0,57.0,46.0,36.0,46.0,64.0,52.0,57.0,38.0,108.0,88.5,83.0,34.0
20,51.0,44.0,23.0,58.0,46.0,36.0,43.5,62.5,50.0,53.0,36.0,99.0,81.0,68.5,33.0
21,49.5,38.0,19.0,57.0,42.0,34.0,37.0,56.5,42.5,47.5,30.5,86.0,71.0,54.0,28.0
22,48.0,37.0,19.5,57.0,41.5,32.5,37.0,52.0,38.5,46.0,30.5,75.0,61.0,41.5,25.0
23,43.0,34.0,18.0,52.0,36.0,29.0,35.0,53.0,38.0,45.0,26.0,64.0,56.0,35.0,21.0
