,11,12,21,22,31,51,61,71,81,82,91,92,101,111,121,122
0,18.0,4.0,60.0,49.0,30.0,25.0,9.0,10.0,71.0,51.0,30.0,9.0,32.0,13.0,17.0,7.0
1,19.0,5.0,63.0,51.0,31.5,21.0,7.0,11.0,71.0,53.0,28.5,9.0,34.0,13.0,18.5,8.0
2,18.0,4.0,62.0,51.0,31.0,20.0,7.0,10.0,72.0,51.5,30.0,9.0,35.0,13.0,17.5,7.0
3,17.5,5.0,61.0,52.0,30.5,22.0,7.0,10.0,75.0,53.0,31.5,9.0,34.0,14.0,17.0,8.0
4,18.0,5.0,64.0,54.5,31.0,23.0,8.0,11.0,74.0,53.0,31.0,9.5,33.0,12.5,19.0,9.0
5,19.0,5.0,65.0,58.0,31.0,25.0,9.5,10.0,76.5,53.5,32.0,10.0,35.0,14.0,18.0,9.0
6,18.0,5.0,64.0,55.5,29.5,22.0,9.0,9.0,77.5,52.0,33.0,12.0,35.0,14.0,20.0,10.0
7,20.0,5.0,63.0,53.0,30.0,22.0,8.0,9.0,80.0,57.0,34.0,11.0,34.0,13.0,22.0,10.0
8,20.0,5.0,60.0,51.0,31.0,20.0,8.0,9.0,90.0,61.0,34.0,12.0,38.0,14.0,25.0,13.0
9,19.0,5.0,61.0,53.0,32.0,22.0,8.0,9.0,92.0,65.0,34.0,11.0,39.0,16.0,30.0,14.0
10,22.0,5.0,62.0,58.5,31.0,22.0,8.0,9.0,95.5,64.0,34.0,13.0,40.0,16.0,35.5,16.5
11,21.0,5.0,62.0,59.0,26.0,31.5,9.5,7.0,102.0,68.5,37.0,13.0,43.5,16.0,41.5,21.0
12,17.0,5.0,61.5,58.0,26.0,25.0,9.0,7.0,100.0,66.5,34.0,11.5,43.0,18.0,53.0,28.0
13,16.0,5.0,60.0,59.0,26.0,21.0,7.0,5.0,102.0,64.0,31.0,11.0,46.0,16.0,52.0,27.0
14,15.0,4.0,60.0,61.0,25.0,17.0,7.0,5.0,96.0,62.0,32.0,10.0,49.0,15.0,57.0,26.0
15,16.0,4.0,61.0,60.0,21.5,18.0,6.0,3.5,101.5,62.0,32.0,12.0,55.0,14.5,53.5,27.0
16,14.0,4.0,61.0,61.0,19.0,11.0,4.0,3.0,107.0,64.5,32.0,12.0,56.5,14.0,59.0,32.0
17,13.0,3.0,61.0,59.0,18.0,9.0,3.0,2.0,99.0,62.5,32.0,10.0,60.0,15.0,54.0,25.0
18,12.0,3.0,56.0,53.0,15.5,8.0,2.0,2.0,89.5,52.0,30.0,9.0,57.5,14.0,50.0,19.5
19,13.0,3.0,51.0,46.0,15.0,7.0,2.0,2.0,81.0,46.0,29.0,9.0,46.0,11.0,41.0,16.5
20,11.5,2.0,48.0,40.0,14.0,6.0,1.0,2.0,78.0,44.5,26.5,7.0,39.0,10.0,37.5,14.0
21,10.0,2.0,46.5,34.0,12.0,5.0,1.0,2.0,68.0,35.0,21.0,5.0,35.5,8.0,28.0,8.5
