,02_1,02_2,05_1,05_2,05_3,08_1,08_2,11_1,11_2,11_3,18_1,18_2,65_1,65_2,65_3,66_1,68_1,68_2,71_1,71_2,71_3,72_1,75_1,75_2,75_3,75_4,80_1,81_1,81_2
0,23.0,13.0,95.0,82.0,33.0,35.0,29.0,67.0,115.0,90.0,19.0,13.0,134.0,123.0,33.0,13.0,32.0,33.0,77.0,113.0,88.0,6.0,141.0,121.0,13.0,11.0,73.0,109.0,107.0
1,22.0,13.0,97.0,84.0,37.0,37.0,30.0,66.0,117.0,92.0,18.0,14.0,136.0,125.0,35.0,13.0,32.0,33.0,75.0,116.0,91.0,6.0,141.0,122.0,14.0,12.0,72.0,116.0,106.0
2,23.0,13.0,98.0,82.0,35.0,39.5,30.0,71.5,117.5,98.5,19.0,13.0,134.0,124.0,34.5,14.0,30.5,32.0,81.0,117.0,94.0,6.0,142.5,123.0,14.0,11.5,77.0,112.5,115.0
3,26.0,14.0,98.0,89.0,36.0,44.0,31.0,67.5,118.0,99.5,21.0,15.0,139.5,132.5,37.0,13.0,32.0,36.0,74.5,117.5,97.5,6.0,149.0,135.0,13.0,13.5,74.0,118.0,120.0
4,24.0,13.0,101.0,89.0,36.0,39.0,32.0,69.5,123.5,107.5,21.0,15.0,139.0,133.5,35.5,13.0,33.0,34.0,77.0,125.0,104.0,6.5,147.0,134.0,13.0,13.0,76.0,122.0,124.0
5,27.5,19.0,107.0,98.0,38.0,40.5,34.0,75.0,130.0,121.0,24.0,17.0,147.5,144.5,41.0,12.0,34.5,37.0,82.5,131.0,122.0,6.0,155.5,148.5,14.0,15.0,87.0,133.5,141.0
6,29.5,16.0,110.0,99.0,40.0,42.0,34.0,76.5,127.5,120.0,22.0,16.0,152.0,145.0,40.0,15.0,34.0,36.5,87.5,123.0,120.0,6.0,160.0,150.5,14.0,15.0,88.5,124.0,139.5
7,30.0,13.0,116.0,108.0,42.0,46.0,34.0,76.0,120.0,111.0,21.0,17.0,156.0,157.0,41.0,14.0,34.0,37.0,85.0,121.0,110.0,6.0,165.0,161.0,13.0,17.0,83.0,124.0,132.0
8,29.5,15.0,116.0,111.5,43.0,44.0,35.0,80.5,122.5,113.5,22.0,17.0,158.0,158.5,44.5,14.5,33.0,37.0,86.5,122.5,111.5,5.0,167.0,163.0,15.0,16.0,85.5,123.0,136.5
9,28.0,14.0,121.0,115.0,44.0,47.0,38.0,78.0,129.0,126.0,22.0,18.0,164.0,164.0,46.0,12.0,35.0,38.0,84.0,129.0,125.0,5.0,173.0,173.0,13.0,17.0,87.0,131.0,150.0
10,27.0,14.0,115.0,109.0,41.0,47.0,34.0,85.0,134.0,137.0,25.0,19.0,157.0,156.0,44.0,14.0,35.0,38.0,90.0,137.0,135.0,7.0,167.0,168.0,14.0,16.0,90.0,134.0,158.0
11,25.0,15.0,120.0,115.5,42.0,52.0,36.5,84.0,138.5,144.0,24.0,19.0,164.0,167.5,47.5,12.0,36.0,39.5,90.0,141.0,143.5,6.0,173.5,177.0,12.0,17.5,94.0,144.5,170.0
12,26.5,14.0,118.0,111.0,38.5,46.5,31.0,92.0,146.0,156.0,23.0,18.0,161.0,159.0,40.0,11.5,32.0,36.0,97.0,146.0,153.0,5.0,170.0,169.0,11.5,16.0,105.0,142.5,177.5
13,29.0,13.0,122.0,119.0,40.0,45.0,30.0,93.0,147.0,160.0,22.0,16.0,164.0,168.0,44.0,11.0,36.0,37.0,99.0,148.0,160.0,5.0,173.0,178.0,12.0,15.0,102.0,146.0,183.0
14,29.0,14.0,121.0,114.0,40.0,44.0,29.0,93.0,149.0,172.0,22.0,16.0,164.0,162.0,42.0,12.0,37.0,37.0,105.0,153.0,168.0,5.0,176.0,174.0,13.0,16.0,110.0,147.0,187.0
15,34.0,16.0,125.0,129.5,44.5,49.0,31.0,98.0,155.5,183.5,27.0,21.5,175.0,187.0,49.0,12.0,41.0,44.0,106.0,157.5,180.5,6.0,183.0,196.5,12.0,19.0,115.0,154.5,204.0
16,34.0,17.0,128.5,132.0,45.5,48.0,31.0,104.5,161.0,200.0,22.5,17.5,178.0,188.5,50.0,14.0,38.0,43.0,114.0,165.0,193.0,7.0,188.5,205.0,12.0,19.0,129.0,162.5,215.0
17,32.0,16.5,122.0,120.0,42.0,45.0,29.0,104.0,160.0,197.5,26.0,21.0,170.0,173.0,46.5,12.0,39.0,43.0,113.0,162.5,196.0,8.0,176.5,189.0,13.0,17.5,125.0,159.5,214.5
18,28.5,16.0,111.0,109.0,39.0,41.0,29.0,110.5,158.0,193.0,24.0,17.0,159.0,158.0,42.0,12.5,38.0,41.0,117.0,159.5,188.5,6.0,165.5,171.5,12.0,15.0,131.0,145.5,210.5
19,30.0,16.0,105.0,101.0,37.0,38.0,27.0,111.0,150.0,183.0,22.0,17.0,151.0,151.0,39.0,12.0,36.0,37.0,117.0,152.0,178.0,7.0,160.0,161.0,12.0,13.0,130.0,134.0,199.0
20,27.0,14.0,102.0,90.0,31.0,36.0,25.0,112.0,152.5,178.5,21.0,14.0,145.0,139.0,32.0,11.0,34.0,34.0,117.0,153.0,176.0,6.0,151.5,144.0,10.0,12.0,130.5,130.5,196.0
21,22.0,10.0,85.0,71.0,26.0,32.0,23.0,102.0,137.0,151.0,19.0,12.0,124.0,111.0,26.0,9.0,29.0,29.0,107.0,138.0,145.0,6.0,127.0,113.0,10.0,9.0,114.0,116.0,162.0
22,20.0,10.0,78.0,61.0,23.0,28.0,22.0,95.0,128.0,131.0,19.0,12.0,111.0,93.0,23.0,9.0,26.0,27.0,98.0,129.0,130.0,5.0,115.0,93.0,9.0,7.0,103.0,109.0,147.0
