out,in
248.0,350.0
218.0,214.0
176.0,165.0
140.0,147.5
114.0,124.0
108.0,100.0
86.0,84.0
72.0,76.0
64.0,66.0
60.0,64.0
44.0,60.0
44.0,56.0
40.0,52.0
36.0,60.0
36.0,60.0
40.0,68.0
40.0,82.0
50.0,116.0
56.0,164.0
64.0,192.0
80.0,202.5
132.0,272.0
188.0,354.0
268.0,436.0
422.0,604.0
838.0,888.0
1246.0,1104.0
1432.0,1196.0
1538.0,1402.0
1724.0,1652.0
1896.0,1881.5
1910.0,2022.0
1936.0,2018.0
2088.0,2196.0
2084.0,2322.0
2074.0,2362.0
1998.0,2150.0
2027.5,1886.0
2004.0,1760.0
1940.0,1673.5
1734.0,1595.0
1692.0,1616.0
1688.0,1582.0
1662.0,1542.0
1530.0,1500.0
1544.0,1532.0
1560.0,1540.0
1596.0,1534.0
1515.5,1580.0
1576.0,1620.0
1630.0,1661.5
1680.0,1636.0
1616.0,1652.0
1668.0,1720.0
1674.0,1730.0
1692.0,1722.0
1656.0,1762.0
1720.0,1832.0
1752.0,1880.0
1752.0,1910.0
1692.0,1956.0
1786.0,2088.0
1860.0,2172.0
1892.0,2228.0
1858.0,2308.0
1938.0,2432.0
1962.0,2452.0
1972.0,2452.0
1990.0,2558.0
2102.0,2608.0
2064.0,2564.0
2104.0,2468.0
2078.0,2256.0
2098.0,2136.0
2028.0,1872.0
1970.0,1666.0
1814.0,1532.0
1736.0,1480.0
1538.0,1402.0
1398.0,1320.0
1146.0,1214.0
1074.0,1154.0
992.0,1068.0
918.0,1024.0
852.0,1008.0
828.0,964.0
772.0,844.5
724.0,790.0
680.0,812.0
706.0,800.0
642.0,730.0
580.0,654.0
530.0,666.0
480.0,588.0
408.0,476.0
330.0,452.0
274.0,412.0
230.0,258.5
184.0,192.0
156.0,174.0
140.0,140.0
112.0,108.0
96.0,96.0
84.0,84.0
72.0,73.5
64.0,72.0
56.0,68.0
52.0,68.0
48.0,64.0
44.0,68.0
44.0,74.0
48.0,88.0
44.0,116.0
52.0,162.0
58.0,182.0
76.0,192.0
88.0,216.0
142.0,284.0
201.0,324.0
236.0,396.0
374.0,514.0
749.5,748.0
1024.0,896.0
1170.0,942.0
1220.0,1110.0
1338.0,1380.0
1562.0,1492.0
1640.0,1674.0
1668.0,1690.0
1882.0,1948.0
1992.5,2108.0
2034.0,2184.0
1876.5,1948.0
1824.0,1790.0
1802.0,1742.0
1782.0,1744.0
1640.0,1676.0
1650.0,1700.0
1640.0,1648.0
1666.0,1644.0
1544.0,1636.0
1572.0,1696.0
1628.0,1708.0
1664.0,1680.0
1612.0,1724.0
1702.0,1788.0
1728.0,1846.0
1785.5,1824.0
1746.0,1848.0
1780.0,1898.0
1836.0,1904.0
1854.0,1896.0
1824.0,1922.0
1868.0,1994.0
1884.0,2006.0
1910.0,2056.0
1860.0,2120.0
1920.0,2188.0
1948.0,2236.0
1976.0,2260.0
1938.0,2332.0
2010.0,2374.0
1992.0,2350.0
2024.0,2332.0
2024.0,2364.0
2102.0,2412.0
2078.0,2318.0
2088.0,2259.0
2050.0,2030.0
2020.0,1908.0
1854.0,1704.0
1704.0,1494.0
1516.5,1386.0
1434.0,1328.0
1328.0,1258.0
1242.0,1176.0
1104.0,1058.0
1026.0,984.0
952.0,908.0
908.0,862.0
860.0,812.0
812.0,796.0
768.0,740.0
704.0,708.0
678.0,686.0
676.0,688.0
636.0,666.0
598.0,654.0
580.0,680.0
590.0,660.0
540.0,594.0
480.0,600.0
440.0,598.0
392.0,500.0
341.5,390.0
304.0,352.0
264.0,288.0
230.0,242.0
196.0,212.0
162.0,180.0
144.0,164.0
122.0,144.0
108.0,120.0
96.0,110.0
84.0,104.0
76.0,104.0
74.0,92.0
72.0,88.0
64.0,92.0
66.0,96.0
68.0,88.0
72.0,96.0
68.0,112.0
84.0,132.0
92.0,136.0
108.0,138.0
136.0,160.0
200.0,202.0
288.0,236.0
352.0,228.0
340.0,272.0
350.0,324.0
384.0,379.0
460.0,444.0
460.0,484.0
562.0,584.0
726.0,722.0
858.0,804.0
884.0,912.0
996.0,1028.0
1126.0,1156.0
1312.0,1264.0
1256.0,1326.0
1412.0,1428.0
1528.0,1526.0
1632.0,1586.0
1598.0,1624.0
1688.0,1682.0
1730.0,1728.0
1824.0,1756.0
1778.0,1776.0
1838.0,1842.0
1886.0,1844.0
1942.0,1846.0
1902.0,1880.0
1958.0,1924.0
1958.0,1946.0
2026.0,1922.0
1986.0,1934.0
1996.0,1984.0
2016.0,1972.0
2052.0,1942.0
1992.0,1976.0
1988.0,1980.0
1956.0,1976.0
1948.0,2002.0
1914.0,1940.0
1880.5,1942.0
1848.0,1984.0
1846.0,1976.0
1772.0,1940.0
1770.0,1974.0
1680.0,1890.0
1638.0,1750.0
1478.0,1694.0
1378.0,1608.0
1216.0,1408.0
1138.0,1314.0
1045.0,1192.0
992.0,1136.0
936.0,1056.0
940.0,1004.0
900.0,980.0
872.0,962.0
828.0,932.0
808.0,920.0
788.0,870.0
760.0,842.0
740.0,792.0
700.0,752.0
662.0,755.0
676.0,724.0
660.0,734.0
618.0,730.0
612.0,716.0
621.0,676.0
608.0,674.0
560.0,686.0
514.0,642.0
474.0,542.0
424.0,480.0
380.0,432.5
328.0,396.0
296.0,329.0
252.0,252.0
220.0,232.0
188.0,196.0
172.0,168.0
144.0,144.0
124.0,128.0
104.0,120.0
96.0,110.0
84.0,92.0
80.0,84.0
72.0,80.0
68.0,80.0
64.0,72.0
56.0,68.0
56.0,72.0
60.0,76.0
64.0,80.0
64.0,72.0
72.0,92.0
90.0,108.0
146.0,124.0
194.0,124.0
206.0,154.0
184.0,176.0
172.0,180.0
216.0,210.0
224.0,230.0
232.0,268.0
266.0,338.0
372.0,362.0
392.0,448.0
508.0,520.0
622.0,652.0
732.0,728.0
766.0,780.0
966.0,898.0
1053.0,966.0
1188.0,998.0
1178.0,1064.0
1286.0,1164.0
1388.0,1214.0
1498.0,1288.0
1480.0,1338.0
1530.0,1432.0
1620.0,1502.0
1724.0,1516.0
1688.0,1564.0
1764.0,1662.0
1796.0,1736.0
1890.0,1744.0
1838.0,1750.0
1892.0,1816.0
1870.0,1828.0
1920.0,1838.0
1860.0,1840.0
1802.0,1848.0
1758.0,1878.0
1762.0,1858.0
1658.0,1864.0
1646.0,1874.0
1606.0,1894.0
1624.0,1860.0
1548.0,1834.0
1504.0,1820.0
1440.0,1686.0
1372.0,1596.0
1228.0,1520.0
1146.0,1394.0
1040.0,1242.0
978.0,1150.0
918.0,1088.0
900.0,1016.0
844.0,986.0
850.0,984.0
850.0,968.0
834.0,985.5
824.0,936.0
804.0,892.0
776.0,850.0
752.0,810.0
708.0,742.0
654.0,662.0
620.0,632.0
594.0,582.0
538.0,536.0
464.0,472.0
426.0,440.0
392.0,372.0
324.0,312.0
252.0,254.0
208.0,216.0
188.0,180.0
160.0,148.0
132.0,124.0
120.0,104.0
96.0,88.0
80.0,76.0
68.0,68.0
64.0,60.0
52.0,56.0
48.0,48.0
44.0,52.0
36.0,52.0
36.0,64.0
40.0,84.0
40.0,84.0
36.0,116.0
48.0,148.0
68.0,160.0
64.0,190.0
80.0,236.0
136.0,292.0
184.0,344.0
252.0,460.0
408.0,600.0
808.0,856.0
1173.0,1052.0
1276.0,1124.0
1352.0,1332.0
1628.0,1572.0
1812.0,1768.0
1872.0,1884.0
1916.0,2000.0
2040.0,2184.0
2044.0,2292.0
2036.0,2280.0
1992.0,1940.0
1920.0,1700.0
1732.0,1628.0
1616.0,1548.0
1452.0,1444.0
1440.0,1480.0
1472.0,1424.0
1444.0,1408.0
1344.0,1372.0
1364.0,1384.0
1412.0,1408.0
1420.0,1404.0
1380.0,1416.0
1432.0,1488.0
1520.0,1532.0
1580.0,1500.0
1524.0,1516.0
1560.0,1564.0
1588.0,1596.0
1628.0,1572.0
