out,in
376.0,544.0
322.5,468.0
271.0,386.0
236.0,324.0
208.0,274.0
172.0,240.5
155.5,206.0
128.0,182.0
120.0,160.0
112.0,144.0
100.0,130.0
90.0,124.0
88.0,108.0
92.0,116.0
96.0,120.0
100.0,130.0
124.0,132.0
170.0,174.0
196.0,260.0
214.0,328.0
380.0,332.0
552.0,441.0
728.0,548.0
970.0,582.0
1426.0,662.0
1976.0,1190.0
2222.0,1844.0
2246.0,1888.0
2564.0,1852.0
2888.0,2226.0
3020.0,2898.0
3056.0,2810.0
3078.0,2702.0
3140.0,2782.0
3076.0,2800.0
2994.0,2692.0
2746.0,2482.0
2548.0,2376.0
2429.5,2380.0
2318.0,2392.0
2218.0,2224.0
2222.0,2194.0
2174.0,2242.0
2102.0,2294.0
2072.0,2148.0
2110.0,2182.0
2136.0,2252.0
2094.0,2244.0
2120.0,2208.0
2250.0,2326.0
2290.0,2372.0
2260.0,2408.0
2276.0,2374.0
2406.0,2492.0
2392.0,2558.0
2380.0,2602.0
2380.0,2540.0
2460.0,2652.0
2520.0,2710.0
2480.0,2780.0
2486.0,2792.0
2596.0,2976.0
2660.0,3052.0
2672.0,3182.0
2758.0,3142.0
2856.0,3270.0
2872.0,3284.0
2834.0,3404.0
2832.0,3390.0
2928.0,3486.0
2756.0,3490.0
2456.0,3554.0
2230.0,3402.0
2166.0,3400.0
2008.0,3222.0
1928.0,2934.0
1852.0,2774.0
1838.0,2666.0
1720.0,2432.0
1594.0,2290.0
1532.0,2006.0
1464.0,1884.0
1392.0,1760.0
1294.0,1646.0
1270.0,1542.0
1270.0,1564.0
1150.0,1432.0
1108.0,1352.0
1084.0,1308.0
1112.0,1344.0
1008.0,1222.0
912.0,1130.0
868.0,1074.0
784.0,974.0
620.0,852.0
520.0,720.0
433.0,604.0
388.0,536.5
332.0,434.0
280.0,376.0
250.0,322.0
216.0,278.0
184.0,248.0
164.0,228.0
148.0,204.0
136.0,178.0
120.0,164.0
108.0,150.0
108.0,144.0
112.0,148.0
120.0,156.0
108.0,184.0
140.0,188.0
184.0,256.0
200.0,314.0
224.0,356.0
406.0,396.0
538.0,530.0
724.0,660.0
894.0,680.0
1352.0,696.0
1686.0,1144.0
1902.0,1786.0
1942.0,1726.0
2242.0,1690.0
2586.0,2058.0
2766.0,2746.0
2758.0,2684.0
2900.0,2462.0
3006.0,2544.0
3028.0,2688.0
2956.0,2656.0
2624.0,2342.0
2516.0,2272.0
2506.0,2360.0
2434.0,2340.0
2296.0,2200.0
2290.0,2198.0
2302.0,2268.0
2224.0,2330.0
2190.0,2214.0
2296.0,2290.0
2294.0,2348.0
2280.0,2424.0
2286.0,2374.0
2402.0,2494.0
2450.0,2536.0
2422.0,2632.0
2410.5,2570.0
2554.0,2702.0
2520.0,2744.0
2533.5,2772.0
2516.0,2732.0
2620.0,2830.0
2632.0,2870.0
2616.0,2976.0
2632.0,2968.0
2698.0,3060.0
2776.0,3100.0
2814.0,3164.0
2772.0,3112.0
2840.0,3222.0
2820.0,3218.0
