,11,111,112,113,121,21,31,51,52,53,61,V081,V082,V091
2015-10-26 00:00:00,5.0,6.0,20.0,6.0,10.0,12.0,11.0,18.0,16.0,3.0,6.0,12.0,4.0,3.0
2015-10-26 00:15:00,5.0,6.0,19.0,5.0,8.0,11.0,10.0,15.0,14.0,3.0,5.0,11.0,4.0,3.0
2015-10-26 00:30:00,4.0,4.0,16.0,5.0,8.0,10.0,8.0,13.0,12.0,2.0,5.0,12.0,4.0,3.0
2015-10-26 00:45:00,4.0,4.0,15.0,4.0,6.0,10.0,7.0,12.0,11.0,2.0,4.0,10.0,3.0,2.0
2015-10-26 01:00:00,4.0,3.0,13.0,3.0,5.5,8.0,6.0,11.0,11.0,2.0,4.0,9.5,2.0,2.0
2015-10-26 01:15:00,3.0,3.0,12.0,2.0,5.0,7.0,5.0,9.0,9.0,1.0,3.0,9.0,2.0,2.0
2015-10-26 01:30:00,2.0,3.0,10.0,2.0,4.0,6.0,4.0,8.0,9.0,1.0,3.0,7.0,2.0,1.0
2015-10-26 01:45:00,2.0,2.0,9.0,2.0,4.0,6.0,4.0,7.0,8.0,1.0,3.0,7.0,2.0,1.0
2015-10-26 02:00:00,2.0,2.0,7.0,2.0,3.0,5.0,4.0,7.0,8.0,1.0,2.0,7.0,1.0,1.0
2015-10-26 02:15:00,1.0,2.0,7.0,2.0,2.0,4.0,3.0,5.5,6.0,1.0,2.0,5.0,1.0,1.0
2015-10-26 02:30:00,1.0,1.0,6.0,1.0,2.0,3.0,3.0,5.0,5.0,0.0,2.0,4.5,1.0,1.0
2015-10-26 02:45:00,1.0,1.0,5.0,1.0,2.0,3.0,2.0,4.0,5.0,0.0,1.0,4.0,1.0,1.0
2015-10-26 03:00:00,1.0,1.0,5.0,1.0,2.0,3.0,2.0,4.0,5.0,0.0,2.0,4.0,1.0,0.0
2015-10-26 03:15:00,1.0,1.0,5.0,1.0,2.0,3.0,1.5,4.0,5.0,0.0,2.0,4.0,1.0,0.0
2015-10-26 03:30:00,1.0,1.0,4.0,1.0,1.0,2.0,1.5,4.0,5.0,0.0,1.0,3.0,0.0,0.0
2015-10-26 03:45:00,1.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,5.0,0.0,2.0,3.0,0.5,0.0
2015-10-26 04:00:00,3.0,1.0,4.0,1.0,1.0,4.0,2.0,6.0,8.0,1.0,1.0,3.0,0.0,1.0
2015-10-26 04:15:00,3.0,1.0,4.0,1.0,1.0,3.0,2.0,6.0,11.0,1.0,1.0,4.0,0.0,1.0
2015-10-26 04:30:00,4.0,1.0,5.0,1.0,2.0,3.0,2.0,11.0,13.0,1.0,2.0,3.0,1.0,1.0
2015-10-26 04:45:00,6.0,1.0,7.0,1.0,2.0,4.0,3.0,13.0,14.0,1.0,3.0,5.0,1.0,1.0
2015-10-26 05:00:00,9.0,2.0,8.0,2.0,3.0,7.0,5.5,18.0,20.0,3.0,4.0,5.0,1.0,1.0
2015-10-26 05:15:00,15.0,3.0,10.0,2.0,3.0,11.0,8.0,27.0,30.0,6.0,5.0,6.0,1.0,2.0
2015-10-26 05:30:00,20.0,3.0,12.0,2.0,4.0,9.0,9.0,39.0,40.0,10.0,7.0,6.0,2.0,3.0
2015-10-26 05:45:00,20.0,4.0,16.0,4.0,5.0,12.0,9.0,42.0,47.5,14.5,8.5,9.0,2.0,3.0
2015-10-26 06:00:00,30.0,7.0,20.0,6.0,6.0,14.0,13.5,52.0,60.0,22.0,10.0,10.0,2.0,4.0
2015-10-26 06:15:00,31.0,10.0,26.0,10.0,7.0,21.0,17.0,58.0,73.0,34.0,11.0,10.0,3.0,5.0
2015-10-26 06:30:00,31.0,18.0,36.0,18.0,8.0,20.0,23.0,68.0,81.0,40.0,15.0,10.0,3.0,5.0
2015-10-26 06:45:00,28.0,29.0,43.0,27.0,9.0,25.0,28.0,76.0,90.0,51.0,22.0,10.0,3.0,5.0
2015-10-26 07:00:00,28.0,26.0,45.0,31.0,10.0,25.0,24.0,74.0,89.5,50.5,29.0,11.0,3.5,7.0
2015-10-26 07:15:00,32.0,28.0,47.0,31.0,13.0,28.0,30.0,79.0,99.0,59.0,29.0,11.0,4.0,7.0
2015-10-26 07:30:00,35.0,31.0,51.0,41.0,15.0,33.0,34.0,86.0,102.0,68.0,35.0,12.0,5.0,9.0
2015-10-26 07:45:00,35.0,38.0,57.0,49.0,19.0,34.0,35.0,96.0,108.0,78.0,42.0,12.0,6.0,9.0
2015-10-26 08:00:00,38.0,40.0,60.0,50.0,23.0,42.0,39.0,90.0,108.0,80.0,46.0,11.0,9.0,9.0
2015-10-26 08:15:00,38.0,41.0,57.0,46.0,26.0,48.0,42.0,90.0,109.0,80.0,49.0,12.0,10.0,10.0
2015-10-26 08:30:00,44.0,44.0,56.0,47.0,23.0,52.0,42.0,92.0,112.0,86.0,49.0,11.0,8.0,11.0
2015-10-26 08:45:00,41.0,43.0,56.0,45.0,25.0,48.0,35.0,95.0,110.0,92.0,55.0,11.0,9.0,11.0
2015-10-26 09:00:00,38.0,42.0,55.0,51.0,29.0,45.0,38.5,77.0,88.0,71.0,43.0,12.0,9.0,12.0
2015-10-26 09:15:00,36.0,41.0,57.0,46.0,27.0,41.5,40.0,68.0,76.0,55.5,32.0,13.0,8.0,12.0
2015-10-26 09:30:00,37.0,38.0,59.0,47.0,28.0,38.0,42.0,62.0,72.0,47.0,28.5,14.0,8.5,12.0
2015-10-26 09:45:00,38.0,36.0,59.0,45.0,29.0,36.0,40.0,61.0,70.0,46.0,26.0,14.0,9.0,13.0
2015-10-26 10:00:00,35.5,35.0,59.0,43.0,28.0,34.0,40.5,61.0,66.0,41.0,22.0,14.0,9.0,13.0
2015-10-26 10:15:00,36.0,32.0,59.0,43.0,28.0,35.5,42.0,59.0,65.5,41.0,23.0,14.0,9.0,12.0
2015-10-26 10:30:00,37.0,32.0,61.0,47.0,30.0,37.0,43.0,61.0,67.0,41.0,24.0,14.0,9.0,13.0
2015-10-26 10:45:00,36.0,35.0,61.0,47.0,31.0,37.0,46.0,63.0,67.0,41.0,24.0,15.0,10.0,14.0
