,111,112,22,51,52,82
2015-01-01 00:00:00,12.0,5.0,17.0,4.0,0.0,21.0
2015-01-01 00:15:00,9.0,3.0,14.0,3.0,0.0,19.0
2015-01-01 00:30:00,7.0,3.0,13.0,3.0,0.0,15.0
2015-01-01 00:45:00,6.0,2.0,12.0,2.0,0.0,14.0
2015-01-01 01:00:00,5.0,2.0,10.0,2.0,0.0,12.0
2015-01-01 01:15:00,4.0,1.0,9.0,2.0,0.0,10.0
2015-01-01 01:30:00,3.0,1.0,8.0,1.0,0.0,9.0
2015-01-01 01:45:00,3.0,1.0,7.0,1.0,0.0,8.0
2015-01-01 02:00:00,2.0,1.0,7.0,1.0,0.0,7.0
2015-01-01 02:15:00,2.0,0.0,5.0,1.0,0.0,6.0
2015-01-01 02:30:00,2.0,0.0,4.0,1.0,0.0,6.0
2015-01-01 02:45:00,1.0,0.0,4.0,1.0,0.0,5.0
2015-01-01 03:00:00,1.0,0.0,3.0,1.0,0.0,5.0
2015-01-01 03:15:00,1.0,0.0,3.0,0.0,0.0,6.0
2015-01-01 03:30:00,1.0,0.0,3.0,1.0,0.0,4.0
2015-01-01 03:45:00,1.0,0.0,3.0,1.0,0.0,3.5
2015-01-01 04:00:00,1.0,0.0,3.0,1.0,0.0,3.0
2015-01-01 04:15:00,1.0,0.0,3.0,1.0,0.0,3.0
2015-01-01 04:30:00,1.0,0.0,3.0,1.0,0.0,3.0
2015-01-01 04:45:00,2.0,0.0,6.0,2.0,0.0,4.0
2015-01-01 05:00:00,2.0,0.0,6.0,2.0,0.0,5.0
2015-01-01 05:15:00,2.0,0.0,7.0,4.0,0.0,5.0
2015-01-01 05:30:00,3.0,1.0,9.0,6.0,1.0,7.0
2015-01-01 05:45:00,3.0,1.0,13.0,10.0,1.0,9.0
2015-01-01 06:00:00,6.0,2.0,13.0,11.0,1.0,13.0
2015-01-01 06:15:00,10.0,3.0,20.0,21.0,3.0,16.0
2015-01-01 06:30:00,15.0,5.0,30.0,29.5,6.0,24.0
2015-01-01 06:45:00,19.0,9.0,41.0,39.0,11.0,35.0
2015-01-01 07:00:00,20.0,9.0,47.0,44.5,15.5,41.0
2015-01-01 07:15:00,23.0,12.0,56.0,52.0,20.0,53.0
2015-01-01 07:30:00,31.0,19.0,70.0,60.0,33.0,69.0
2015-01-01 07:45:00,35.0,24.0,98.0,66.0,45.0,88.0
2015-01-01 08:00:00,36.0,26.0,111.0,63.0,46.0,97.0
2015-01-01 08:15:00,38.0,31.0,128.0,64.0,54.0,108.0
2015-01-01 08:30:00,38.0,32.0,111.0,71.0,64.0,130.0
2015-01-01 08:45:00,37.0,29.0,119.0,71.0,65.0,117.0
2015-01-01 09:00:00,35.0,28.0,99.0,60.0,41.0,104.0
2015-01-01 09:15:00,37.0,28.0,90.0,47.0,24.0,95.0
2015-01-01 09:30:00,36.5,27.0,86.0,42.0,18.0,92.0
2015-01-01 09:45:00,40.0,31.0,88.0,39.0,15.0,100.0
2015-01-01 10:00:00,41.0,28.0,78.0,35.0,13.0,88.0
2015-01-01 10:15:00,39.0,29.0,80.0,33.0,10.0,89.0
2015-01-01 10:30:00,43.0,32.0,83.0,34.0,12.0,93.0
2015-01-01 10:45:00,45.0,34.0,86.0,34.0,12.0,96.0
2015-01-01 11:00:00,45.0,33.0,84.0,31.0,10.0,89.5
2015-01-01 11:15:00,44.0,33.0,88.0,29.0,9.0,88.0
2015-01-01 11:30:00,45.0,33.0,89.0,32.0,10.0,92.0
2015-01-01 11:45:00,47.0,36.0,93.0,33.0,12.0,96.0
2015-01-01 12:00:00,49.0,37.5,91.0,32.0,11.0,96.0
2015-01-01 12:15:00,49.0,37.0,95.0,33.0,11.0,97.0
2015-01-01 12:30:00,48.0,38.0,94.0,33.0,11.0,100.0
2015-01-01 12:45:00,49.0,40.0,96.0,33.0,11.0,103.0
2015-01-01 13:00:00,49.0,40.0,94.0,32.0,11.0,102.0
2015-01-01 13:15:00,49.0,40.0,95.0,33.0,11.0,100.0
2015-01-01 13:30:00,49.0,39.0,96.0,34.0,11.0,100.0
2015-01-01 13:45:00,49.0,40.0,101.0,34.0,11.0,101.0
2015-01-01 14:00:00,50.0,40.0,98.0,34.0,11.0,103.5
2015-01-01 14:15:00,51.0,42.0,105.0,33.0,11.0,102.0
2015-01-01 14:30:00,53.0,47.5,112.0,34.0,13.0,107.0
2015-01-01 14:45:00,55.0,51.0,115.5,35.0,14.0,118.0
2015-01-01 15:00:00,55.0,50.0,103.0,34.0,13.0,123.0
2015-01-01 15:15:00,55.0,52.0,102.0,38.0,14.0,120.0
2015-01-01 15:30:00,56.0,53.0,99.0,35.0,13.0,123.0
2015-01-01 15:45:00,60.0,56.0,104.0,33.0,13.0,118.0
2015-01-01 16:00:00,62.0,61.0,105.0,32.0,12.0,115.5
2015-01-01 16:15:00,63.0,60.0,107.0,33.0,11.0,114.0
2015-01-01 16:30:00,65.0,62.0,111.0,34.0,12.0,112.0
2015-01-01 16:45:00,68.5,69.0,111.0,32.0,12.0,114.0
2015-01-01 17:00:00,69.0,73.0,110.0,32.0,12.0,125.0
2015-01-01 17:15:00,74.0,79.0,118.5,33.0,12.0,123.0
2015-01-01 17:30:00,71.0,76.0,115.5,32.0,12.0,124.5
2015-01-01 17:45:00,69.0,75.0,112.0,32.0,11.0,122.0
2015-01-01 18:00:00,70.0,71.0,108.0,31.0,11.0,118.0
2015-01-01 18:15:00,64.0,63.0,101.0,28.0,9.0,112.0
2015-01-01 18:30:00,59.5,53.5,91.0,27.0,8.0,98.0
2015-01-01 18:45:00,54.0,46.0,86.5,25.0,7.0,91.0
2015-01-01 19:00:00,50.0,42.0,81.0,24.0,7.0,89.0
2015-01-01 19:15:00,49.0,40.0,82.0,24.0,7.0,83.0
2015-01-01 19:30:00,45.0,33.5,76.0,24.0,6.0,80.0
2015-01-01 19:45:00,41.0,29.0,73.0,22.0,6.0,74.5
2015-01-01 20:00:00,38.0,27.0,66.5,19.0,4.0,71.0
2015-01-01 20:15:00,34.0,22.0,62.5,18.0,4.0,64.0
2015-01-01 20:30:00,32.0,21.0,58.0,15.0,3.0,60.0
2015-01-01 20:45:00,31.0,18.0,56.0,15.0,3.0,57.5
2015-01-01 21:00:00,28.0,17.0,55.0,15.0,3.0,57.0
2015-01-01 21:15:00,30.0,17.0,53.0,15.0,3.0,55.0
2015-01-01 21:30:00,30.0,18.0,48.0,14.0,2.0,53.0
2015-01-01 21:45:00,29.0,16.0,49.0,13.0,3.0,52.0
2015-01-01 22:00:00,29.0,17.0,45.0,14.0,2.0,51.5
2015-01-01 22:15:00,28.0,15.0,45.0,13.0,2.0,54.0
2015-01-01 22:30:00,28.0,16.0,40.0,12.0,2.0,49.0
2015-01-01 22:45:00,27.0,15.0,36.0,11.0,2.0,45.0
2015-01-01 23:00:00,25.0,13.0,35.0,9.0,2.0,43.0
2015-01-01 23:15:00,22.0,10.0,31.0,8.0,1.0,35.0
2015-01-01 23:30:00,19.0,9.0,26.0,6.0,1.0,31.0
2015-01-01 23:45:00,15.0,7.0,24.0,5.0,1.0,28.0
2015-01-02 00:00:00,13.0,6.0,19.0,5.0,0.0,25.0
2015-01-02 00:15:00,10.0,4.0,17.0,4.0,0.0,21.0
2015-01-02 00:30:00,8.0,3.0,15.0,4.0,0.0,19.0
2015-01-02 00:45:00,7.0,2.0,13.0,3.0,0.0,16.0
2015-01-02 01:00:00,6.0,3.0,11.0,3.0,0.0,14.0
2015-01-02 01:15:00,5.0,2.0,9.0,2.0,0.0,12.0
2015-01-02 01:30:00,4.0,2.0,9.0,2.0,0.0,11.0
2015-01-02 01:45:00,4.0,1.0,8.0,2.0,0.0,10.0
2015-01-02 02:00:00,3.0,1.0,7.0,1.0,0.0,8.0
2015-01-02 02:15:00,3.0,1.0,6.0,1.0,0.0,8.0
2015-01-02 02:30:00,2.0,1.0,6.0,1.0,0.0,7.0
2015-01-02 02:45:00,2.0,1.0,5.0,1.0,0.0,6.0
2015-01-02 03:00:00,2.0,0.0,4.0,1.0,0.0,7.0
2015-01-02 03:15:00,1.5,1.0,4.0,1.0,0.0,7.0
2015-01-02 03:30:00,1.0,1.0,4.0,1.0,0.0,5.0
2015-01-02 03:45:00,2.0,0.0,5.0,1.0,0.0,4.0
2015-01-02 04:00:00,2.0,0.0,4.0,1.0,0.0,4.0
2015-01-02 04:15:00,1.0,0.0,5.0,1.0,0.0,3.0
2015-01-02 04:30:00,1.0,0.0,6.0,2.0,0.0,4.0
2015-01-02 04:45:00,2.0,1.0,8.0,2.0,0.0,4.0
2015-01-02 05:00:00,1.5,1.0,7.0,2.0,0.0,6.0
2015-01-02 05:15:00,2.0,1.0,8.0,4.0,0.0,7.0
2015-01-02 05:30:00,3.0,1.0,10.0,6.0,0.0,8.0
2015-01-02 05:45:00,4.0,1.0,13.0,9.0,1.0,10.0
2015-01-02 06:00:00,6.0,2.0,13.0,10.0,1.0,13.0
2015-01-02 06:15:00,9.0,3.0,20.0,19.0,2.0,16.0
2015-01-02 06:30:00,15.0,5.0,30.0,24.0,4.0,22.5
2015-01-02 06:45:00,17.0,8.0,39.0,28.5,7.0,30.5
2015-01-02 07:00:00,17.0,7.0,40.0,35.0,10.0,38.0
2015-01-02 07:15:00,23.0,11.0,50.0,42.0,16.0,46.0
2015-01-02 07:30:00,28.0,17.0,64.5,52.0,24.0,58.0
2015-01-02 07:45:00,34.0,22.0,90.0,57.0,34.0,79.0
2015-01-02 08:00:00,33.0,24.0,104.0,57.0,40.0,89.0
2015-01-02 08:15:00,38.0,31.0,121.0,59.0,45.0,103.0
2015-01-02 08:30:00,38.0,32.0,108.0,63.0,53.0,123.0
2015-01-02 08:45:00,38.0,32.0,113.5,66.5,54.5,118.0
2015-01-02 09:00:00,36.0,30.0,96.0,54.0,32.0,105.0
2015-01-02 09:15:00,37.0,29.0,91.0,45.0,22.0,98.0
2015-01-02 09:30:00,38.0,30.0,85.0,40.0,18.0,93.0
2015-01-02 09:45:00,41.0,34.0,91.0,38.0,16.0,102.0
2015-01-02 10:00:00,41.0,33.0,83.0,36.0,13.0,98.0
2015-01-02 10:15:00,41.0,33.0,87.0,34.0,12.0,96.5
2015-01-02 10:30:00,42.0,33.0,88.0,34.0,14.0,98.0
2015-01-02 10:45:00,45.0,36.0,92.0,36.0,13.0,103.0
2015-01-02 11:00:00,45.0,37.0,92.0,34.0,12.0,99.5
2015-01-02 11:15:00,43.0,36.0,94.0,32.0,12.0,97.0
2015-01-02 11:30:00,46.0,36.0,93.0,33.0,13.0,101.0
2015-01-02 11:45:00,49.0,40.0,104.0,35.0,13.0,106.5
2015-01-02 12:00:00,50.0,42.0,98.0,34.0,13.0,107.0
2015-01-02 12:15:00,51.0,43.0,100.0,35.0,14.0,109.0
2015-01-02 12:30:00,52.0,45.0,99.0,34.0,13.0,110.0
2015-01-02 12:45:00,53.0,45.0,102.0,35.0,13.0,114.5
2015-01-02 13:00:00,52.5,45.0,99.0,35.0,13.5,112.5
2015-01-02 13:15:00,51.0,44.0,100.0,34.0,13.0,110.0
2015-01-02 13:30:00,52.0,44.5,103.5,37.0,13.0,111.0
2015-01-02 13:45:00,51.0,44.0,108.0,36.0,14.0,113.0
