,01_1,02_1,02_2,04_1,05_1,05_2,08_1,08_2,10_1,11_1,11_2
2015-01-01 00:00:00,8.0,25.0,9.0,5.0,21.0,5.0,31.0,8.5,2.0,26.0,11.0
2015-01-01 00:15:00,7.0,23.0,7.0,5.0,21.0,5.0,26.0,7.0,2.0,25.0,9.5
2015-01-01 00:30:00,5.0,20.0,5.0,5.0,16.0,4.0,25.0,5.0,2.0,22.0,8.0
2015-01-01 00:45:00,5.0,16.0,4.0,4.0,15.0,3.0,21.0,4.0,2.0,18.0,7.0
2015-01-01 01:00:00,4.0,14.0,4.0,4.0,12.0,3.0,20.0,4.0,2.0,17.0,7.0
2015-01-01 01:15:00,4.0,12.0,3.0,3.0,11.0,2.0,19.0,3.0,1.0,14.0,5.0
2015-01-01 01:30:00,3.0,11.0,3.0,3.0,10.0,2.0,18.0,3.0,1.0,13.0,5.0
2015-01-01 01:45:00,3.0,10.0,2.0,3.0,9.0,2.0,17.0,3.0,1.0,12.0,4.0
2015-01-01 02:00:00,3.0,9.0,2.0,3.0,9.0,2.0,17.0,3.0,1.0,12.0,4.0
2015-01-01 02:15:00,2.0,8.0,2.0,3.0,8.0,1.0,13.0,2.0,1.0,9.0,3.0
2015-01-01 02:30:00,2.0,7.0,1.0,3.0,7.0,2.0,12.0,2.0,1.0,7.0,2.0
2015-01-01 02:45:00,2.0,6.0,1.0,2.0,6.0,1.0,9.0,1.0,0.0,6.0,2.0
2015-01-01 03:00:00,2.0,6.0,1.0,2.0,5.0,1.0,9.0,1.0,0.0,6.0,2.0
2015-01-01 03:15:00,2.0,5.0,1.0,2.0,5.0,1.0,10.0,1.0,0.0,5.5,1.0
2015-01-01 03:30:00,2.0,6.0,1.0,2.0,6.0,1.0,10.5,1.0,0.0,4.0,1.0
2015-01-01 03:45:00,2.0,5.0,1.0,2.0,6.0,1.0,10.0,1.0,0.0,5.0,2.0
2015-01-01 04:00:00,2.0,5.0,1.0,3.0,9.0,1.0,15.0,1.0,1.0,6.0,2.0
2015-01-01 04:15:00,2.0,6.0,1.0,3.0,10.0,2.0,23.0,2.0,1.0,9.0,4.0
2015-01-01 04:30:00,4.0,8.0,1.0,4.0,12.0,2.0,32.0,4.0,1.0,11.0,3.0
2015-01-01 04:45:00,4.0,10.0,2.0,5.0,14.0,3.0,38.0,7.0,1.0,13.0,5.0
2015-01-01 05:00:00,5.0,11.0,2.0,7.0,19.0,5.0,58.5,16.0,2.0,24.0,8.0
2015-01-01 05:15:00,7.0,13.0,3.0,11.0,23.0,6.0,85.0,36.0,2.0,42.0,19.0
2015-01-01 05:30:00,10.0,15.0,4.0,13.0,25.0,8.0,89.0,44.0,2.0,45.0,21.0
2015-01-01 05:45:00,11.0,21.0,7.0,15.0,34.0,12.0,96.0,57.0,2.0,35.0,20.0
2015-01-01 06:00:00,16.0,29.0,11.0,18.0,41.0,15.0,112.5,78.0,3.0,48.5,27.0
2015-01-01 06:15:00,23.0,43.0,19.0,19.0,48.0,19.0,122.0,91.0,2.5,70.0,42.0
2015-01-01 06:30:00,37.0,56.0,36.0,16.0,54.0,25.0,110.0,82.0,4.0,68.0,44.0
2015-01-01 06:45:00,42.0,66.0,50.0,15.0,68.0,36.5,92.0,65.0,3.0,49.0,29.0
2015-01-01 07:00:00,45.0,63.0,45.0,19.0,69.0,40.0,97.0,76.0,3.0,52.0,33.0
2015-01-01 07:15:00,55.0,74.0,60.0,17.0,72.0,47.0,99.0,81.0,3.0,54.0,36.0
2015-01-01 07:30:00,68.5,90.0,79.5,19.0,86.0,64.5,95.0,82.0,4.0,58.0,42.0
2015-01-01 07:45:00,84.0,105.0,100.0,21.0,96.0,78.5,89.0,78.0,6.0,56.0,41.0
2015-01-01 08:00:00,84.5,98.0,94.0,20.0,101.0,84.0,90.0,78.5,7.0,62.5,49.0
2015-01-01 08:15:00,90.0,96.5,92.0,23.5,106.0,92.0,91.0,83.5,9.0,68.0,54.5
2015-01-01 08:30:00,95.0,93.0,90.0,25.0,114.0,98.0,96.0,89.0,6.0,63.0,49.0
2015-01-01 08:45:00,84.0,95.0,88.0,23.0,104.0,84.0,90.0,79.0,7.0,61.0,47.0
2015-01-01 09:00:00,60.5,83.0,69.0,19.0,82.5,56.0,86.0,69.0,7.0,56.0,38.0
2015-01-01 09:15:00,51.0,80.0,62.0,18.0,76.0,45.0,81.0,57.0,6.0,55.0,37.0
2015-01-01 09:30:00,50.5,82.0,59.0,17.0,73.0,42.0,79.0,54.0,7.0,55.0,38.0
2015-01-01 09:45:00,44.0,84.0,64.0,18.0,70.0,41.0,78.0,48.0,7.0,58.0,39.0
2015-01-01 10:00:00,38.0,74.0,53.0,18.0,68.0,36.0,78.0,47.0,7.0,57.0,37.0
2015-01-01 10:15:00,39.0,76.0,52.0,17.5,68.0,35.0,77.0,46.5,7.0,59.0,38.0
2015-01-01 10:30:00,38.0,76.5,51.0,18.0,71.0,36.0,77.0,45.0,7.0,61.0,39.0
2015-01-01 10:45:00,39.0,80.0,54.0,18.0,71.0,36.5,77.5,46.0,7.0,62.0,40.0
2015-01-01 11:00:00,35.0,73.0,47.0,19.0,68.0,33.5,78.0,47.0,7.0,62.5,42.0
2015-01-01 11:15:00,36.0,75.0,50.0,19.0,71.0,35.0,83.0,50.0,8.0,64.0,44.0
2015-01-01 11:30:00,37.0,77.0,52.0,20.0,72.0,37.0,84.0,51.0,8.0,66.0,47.0
2015-01-01 11:45:00,40.0,80.0,60.0,20.0,73.0,37.0,83.0,53.5,9.0,70.0,50.0
