,01_1,02_1,02_2,03_1,03_2,04_1,04_2,05_1,05_2,06_1,06_2,07_1,08_1,08_2,10_1,11_1,11_2,12_1,12_2
2015-01-01 00:00:00,2.0,4.0,6.0,8.0,1.0,16.0,6.0,5.0,0.0,4.0,0.0,5.0,12.0,6.0,4.0,5.0,0.0,2.0,0.0
2015-01-01 00:15:00,2.0,3.0,5.0,7.0,1.0,15.0,5.0,5.0,0.0,4.0,0.0,4.0,10.0,5.0,3.0,4.0,0.0,3.0,0.0
2015-01-01 00:30:00,1.0,2.0,4.0,6.0,1.0,15.0,5.0,4.0,0.0,3.0,0.0,3.0,9.0,5.0,3.0,4.0,0.0,2.0,0.0
2015-01-01 00:45:00,1.0,2.0,3.0,5.0,1.0,11.0,3.0,4.0,0.0,2.0,0.0,3.0,8.0,4.0,3.0,2.0,0.0,1.0,0.0
2015-01-01 01:00:00,1.0,1.0,3.0,3.0,0.0,8.0,2.0,3.5,0.0,1.0,0.0,2.0,7.0,4.0,2.0,2.0,0.0,1.0,0.0
2015-01-01 01:15:00,0.0,1.0,2.0,3.0,0.0,6.0,2.0,3.0,0.0,1.0,0.0,2.0,6.0,3.0,2.0,2.0,0.0,1.0,0.0
2015-01-01 01:30:00,0.0,1.0,2.0,3.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,2.0,5.0,3.0,2.0,2.0,0.0,1.0,0.0
2015-01-01 01:45:00,0.0,1.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0
2015-01-01 02:00:00,0.0,1.0,2.0,2.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0,2.0,2.0,2.0,0.0,1.0,0.0
2015-01-01 02:15:00,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0
2015-01-01 02:30:00,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
2015-01-01 02:45:00,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
2015-01-01 03:00:00,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
2015-01-01 03:15:00,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
2015-01-01 03:30:00,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
2015-01-01 03:45:00,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
2015-01-01 04:00:00,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:15:00,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
2015-01-01 04:30:00,0.0,0.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0
2015-01-01 04:45:00,0.0,0.0,2.0,4.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0
2015-01-01 05:00:00,1.0,1.0,3.0,3.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0
2015-01-01 05:15:00,1.0,2.0,7.0,5.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,0.0,2.0,0.0
2015-01-01 05:30:00,1.0,4.0,9.0,9.0,1.0,8.0,2.0,1.0,0.0,2.0,0.0,2.0,9.0,2.0,2.0,1.0,0.0,4.0,0.0
2015-01-01 05:45:00,4.0,5.0,12.0,15.0,2.0,9.0,2.0,2.0,0.0,2.0,0.0,3.0,11.0,4.0,4.0,2.0,0.0,5.0,0.0
2015-01-01 06:00:00,5.0,13.0,21.0,22.0,4.0,12.0,4.0,3.0,0.0,5.0,0.0,5.0,17.0,5.0,5.0,3.0,0.0,6.0,0.0
2015-01-01 06:15:00,11.0,32.0,45.0,41.0,13.0,17.0,4.0,5.0,1.0,7.0,1.0,10.0,22.0,6.5,8.0,5.0,0.0,8.0,1.0
2015-01-01 06:30:00,18.0,46.0,70.0,56.0,21.5,19.5,5.0,6.0,1.0,11.0,2.0,10.0,27.0,10.0,10.0,7.0,0.0,13.0,1.0
2015-01-01 06:45:00,31.0,64.0,92.0,68.0,33.0,24.0,8.0,9.0,1.0,13.0,2.0,14.0,34.0,18.0,15.0,11.0,0.0,17.0,2.0
2015-01-01 07:00:00,36.0,58.5,91.0,59.0,30.0,26.0,10.0,9.0,1.0,11.0,2.0,14.0,39.0,22.5,13.0,11.0,1.0,19.0,3.0
2015-01-01 07:15:00,45.0,73.0,111.0,62.5,33.0,28.0,12.0,11.0,1.5,12.0,3.0,16.0,45.0,29.0,16.0,13.0,1.0,22.0,5.0
2015-01-01 07:30:00,48.0,82.0,122.0,65.0,36.0,30.0,15.0,12.0,2.0,15.0,4.0,20.0,51.0,38.0,24.0,15.0,2.0,30.0,9.0
2015-01-01 07:45:00,47.0,94.0,132.0,68.0,45.0,31.0,17.0,14.0,3.0,18.0,4.0,25.0,49.0,42.0,27.0,16.0,2.0,28.0,11.0
2015-01-01 08:00:00,45.0,92.0,128.0,74.0,47.0,33.0,20.0,17.0,5.0,21.0,6.0,25.0,53.0,45.0,30.0,19.0,3.0,29.0,12.0
2015-01-01 08:15:00,44.0,86.0,123.0,71.0,47.0,32.0,21.0,21.0,7.0,23.0,7.0,28.0,59.0,51.0,30.0,21.0,5.0,33.0,15.0
2015-01-01 08:30:00,41.0,81.0,117.0,71.0,52.0,30.0,19.0,20.5,7.0,22.0,6.5,31.5,62.0,57.5,36.0,25.0,7.0,32.0,15.5
2015-01-01 08:45:00,40.0,79.0,110.5,77.0,56.0,28.0,18.0,21.0,7.0,20.0,6.0,33.0,57.0,55.0,39.0,26.0,9.0,28.0,14.0
2015-01-01 09:00:00,40.0,75.0,108.0,74.0,52.0,27.0,16.0,16.0,5.0,18.0,6.0,32.0,51.5,51.0,40.0,24.0,7.0,23.5,9.0
2015-01-01 09:15:00,39.0,74.0,108.0,77.0,54.0,26.0,13.0,16.0,5.0,19.0,6.0,29.0,44.0,44.0,42.0,23.0,6.0,21.0,7.0
2015-01-01 09:30:00,31.0,70.0,104.0,73.0,47.0,26.0,14.0,14.0,4.0,19.0,6.0,28.0,43.0,40.0,45.0,22.0,5.0,18.0,6.0
2015-01-01 09:45:00,30.0,65.0,100.0,71.0,41.0,28.0,13.0,16.0,4.0,17.0,6.0,28.0,41.0,39.0,44.0,21.0,5.0,18.0,5.0
2015-01-01 10:00:00,25.0,51.0,88.0,59.0,29.0,30.0,14.0,13.0,3.0,17.0,5.0,27.0,42.0,36.0,40.0,21.0,4.0,19.0,5.0
2015-01-01 10:15:00,22.0,46.0,84.0,55.0,25.0,31.0,16.0,14.0,3.0,18.0,6.0,28.0,43.0,36.0,40.0,20.0,4.0,19.0,5.0
2015-01-01 10:30:00,22.0,43.0,84.0,56.0,24.0,32.5,16.0,14.5,3.5,19.0,6.0,27.0,44.0,36.0,39.0,19.0,4.0,19.5,5.0
2015-01-01 10:45:00,20.5,42.0,80.0,52.0,24.0,34.0,18.0,16.0,3.0,19.0,6.0,29.0,46.0,40.0,40.0,20.0,4.0,19.0,5.0
2015-01-01 11:00:00,16.0,36.0,68.0,47.0,20.0,39.0,23.0,15.0,3.0,19.0,6.0,27.0,50.0,40.0,37.0,21.0,4.0,20.0,5.0
2015-01-01 11:15:00,17.0,36.0,68.0,47.0,19.0,42.0,24.0,16.0,3.0,19.0,6.0,29.0,52.5,42.0,36.0,19.0,3.0,19.5,5.0
2015-01-01 11:30:00,18.0,37.0,72.0,50.0,21.0,42.0,26.0,15.0,3.0,20.0,6.0,28.0,53.0,44.0,37.0,21.0,4.0,21.0,5.0
2015-01-01 11:45:00,19.0,42.0,76.0,52.0,23.0,43.0,28.0,17.0,4.0,19.0,6.0,29.0,53.0,45.0,39.0,22.0,4.0,20.0,5.0
2015-01-01 12:00:00,17.0,37.0,71.0,48.0,20.0,48.0,32.0,17.0,4.0,20.0,6.0,29.0,59.0,49.0,37.0,22.0,5.0,23.0,6.0
2015-01-01 12:15:00,19.0,38.0,75.0,50.0,21.0,50.0,33.0,18.0,4.0,21.0,7.0,31.0,60.0,50.0,37.0,22.0,5.0,22.0,6.0
2015-01-01 12:30:00,20.0,42.0,83.0,54.0,24.0,48.0,33.0,17.0,4.0,23.0,7.0,30.0,60.0,49.0,37.0,23.0,5.0,23.0,7.0
2015-01-01 12:45:00,22.0,44.0,84.0,54.0,25.0,48.0,33.0,19.0,5.0,22.0,8.0,30.0,58.0,49.0,39.0,22.0,5.0,21.0,6.0
2015-01-01 13:00:00,19.0,40.0,73.0,49.0,22.0,50.0,34.0,17.0,4.0,21.0,7.0,31.0,59.0,49.0,38.0,22.0,5.0,22.0,6.0
2015-01-01 13:15:00,19.0,41.0,75.0,51.0,24.0,51.0,36.0,18.0,5.0,22.0,7.0,32.0,59.0,49.0,38.0,21.0,5.0,21.0,6.0
2015-01-01 13:30:00,19.0,42.0,77.0,51.0,23.0,52.0,36.0,18.0,5.0,24.0,8.0,30.0,59.0,49.0,40.0,22.0,5.0,22.0,6.0
2015-01-01 13:45:00,21.0,43.0,76.0,49.0,22.0,50.0,34.5,19.0,5.0,24.0,8.0,31.0,59.0,52.0,39.0,21.0,5.0,21.0,6.0
2015-01-01 14:00:00,19.0,36.0,65.5,43.0,20.0,56.0,40.0,19.0,5.0,23.0,7.0,31.0,66.0,54.0,39.0,21.0,5.0,24.0,7.0
2015-01-01 14:15:00,19.0,36.0,66.0,43.0,19.0,58.0,45.0,20.0,6.0,23.0,8.0,31.0,67.0,57.0,39.0,20.0,4.0,24.0,7.0
2015-01-01 14:30:00,19.0,39.0,69.0,44.0,19.0,59.0,46.0,22.0,6.0,25.0,8.0,29.0,69.0,60.0,41.0,20.0,5.0,27.0,8.0
2015-01-01 14:45:00,21.0,38.0,67.0,42.0,19.0,61.0,48.0,21.0,6.0,24.0,7.0,30.0,72.0,63.0,39.0,22.0,5.0,27.0,9.0
2015-01-01 15:00:00,18.0,35.0,59.0,39.0,18.0,68.0,57.0,20.0,6.0,22.0,7.0,32.0,80.0,69.0,38.0,25.0,5.0,27.0,9.0
2015-01-01 15:15:00,19.0,37.0,62.0,39.0,19.0,71.0,62.0,20.0,6.0,23.0,7.0,33.5,81.0,70.0,38.0,23.0,6.0,29.0,11.0
2015-01-01 15:30:00,21.0,37.0,62.0,40.0,19.0,77.0,70.0,21.0,7.0,24.0,8.0,33.0,89.5,80.0,36.5,25.5,7.0,33.0,15.0
2015-01-01 15:45:00,22.0,37.0,63.0,40.0,21.0,75.0,69.0,23.0,7.5,24.0,8.0,34.0,86.0,79.0,36.0,26.0,7.0,34.0,16.0
2015-01-01 16:00:00,20.0,37.0,57.0,38.0,19.0,77.0,71.0,23.0,8.0,23.0,8.0,35.0,89.0,83.0,37.0,28.0,8.0,41.0,23.0
2015-01-01 16:15:00,23.5,41.0,60.0,40.0,22.0,75.0,71.0,24.0,8.5,25.0,8.0,35.5,83.0,79.0,36.0,29.0,9.0,41.0,25.0
2015-01-01 16:30:00,24.0,45.5,66.0,40.0,22.0,75.0,69.5,24.0,9.0,25.0,8.0,36.0,82.0,76.0,37.0,30.0,9.0,47.0,32.0
2015-01-01 16:45:00,28.0,52.0,71.0,44.0,26.0,73.0,67.0,24.0,9.0,26.0,9.0,36.0,79.0,74.0,39.0,31.0,10.0,47.0,32.0
2015-01-01 17:00:00,29.0,55.0,74.0,45.0,27.0,75.0,71.0,26.0,10.0,26.0,10.0,38.0,79.0,75.0,44.0,36.0,13.0,54.0,41.0
2015-01-01 17:15:00,34.0,64.0,88.0,49.0,31.0,75.0,73.0,28.0,12.0,26.0,9.0,36.0,76.5,72.0,44.0,35.0,14.0,55.0,44.0
2015-01-01 17:30:00,36.0,68.0,96.0,51.0,33.0,69.0,65.0,26.0,10.0,25.0,9.0,36.0,73.0,70.0,44.0,37.0,14.0,52.0,40.0
2015-01-01 17:45:00,35.0,69.0,98.0,55.0,36.0,66.0,58.0,26.0,10.0,24.0,9.0,35.0,70.0,66.0,45.0,35.0,14.0,44.0,30.0
2015-01-01 18:00:00,34.0,69.0,97.0,56.0,35.0,63.0,52.0,24.0,8.0,21.0,7.0,34.0,70.0,61.0,43.0,33.0,12.0,38.0,21.0
2015-01-01 18:15:00,29.0,67.0,91.0,57.0,34.0,57.5,45.5,21.0,7.0,21.0,7.0,34.0,62.0,56.0,39.0,29.0,8.0,30.0,13.0
2015-01-01 18:30:00,27.0,59.0,82.5,56.0,32.0,52.0,38.0,19.0,5.5,21.0,6.0,33.0,57.0,48.0,38.0,26.0,7.0,23.0,7.0
2015-01-01 18:45:00,23.0,46.0,71.0,55.0,28.0,47.0,32.0,17.0,5.0,18.0,5.0,29.0,51.0,43.0,34.0,23.0,5.0,19.0,4.0
2015-01-01 19:00:00,19.0,39.0,59.0,52.0,27.0,46.0,30.0,17.0,4.0,18.0,5.0,29.0,49.0,39.0,32.0,21.0,4.0,18.0,4.0
2015-01-01 19:15:00,18.0,33.0,52.0,49.0,23.0,43.0,26.0,16.0,4.0,16.0,4.0,26.0,46.0,35.0,29.0,20.0,4.0,16.0,3.0
2015-01-01 19:30:00,16.0,28.0,43.0,44.0,19.0,42.5,25.0,15.0,3.0,16.0,4.0,24.0,43.0,33.5,29.0,20.0,4.0,16.0,3.0
2015-01-01 19:45:00,13.0,25.0,36.0,38.0,14.5,41.0,24.0,15.0,3.0,14.5,4.0,21.0,41.0,30.0,23.5,16.0,2.5,14.0,2.0
2015-01-01 20:00:00,10.0,21.0,29.0,31.5,11.0,44.0,27.0,15.0,3.0,15.0,3.0,19.0,44.0,31.0,20.0,15.0,2.0,14.0,2.0
2015-01-01 20:15:00,9.0,20.0,27.0,29.0,9.0,45.0,27.5,14.0,3.0,13.5,3.0,18.0,43.0,28.5,19.0,14.0,2.0,14.0,2.0
2015-01-01 20:30:00,8.0,17.0,23.0,25.0,8.0,46.5,28.0,14.0,3.0,13.0,3.0,15.0,42.0,27.0,18.0,13.0,1.0,11.0,1.0
2015-01-01 20:45:00,8.0,16.0,22.0,26.0,8.0,50.0,31.0,14.0,3.0,14.0,3.0,16.0,44.0,29.0,16.0,12.0,1.0,12.0,1.0
2015-01-01 21:00:00,8.0,16.0,22.0,26.0,8.5,58.0,41.5,15.0,3.0,16.0,3.0,16.0,48.0,32.0,15.0,13.0,2.0,12.0,1.0
2015-01-01 21:15:00,8.0,16.0,22.0,23.0,7.0,54.0,36.0,16.0,3.0,14.0,3.0,16.5,48.5,30.0,15.0,12.0,1.0,13.0,2.0
