,02_1,02_2,03_1,05_1,05_2,08_1,08_2,09_1,11_1,11_2
2015-01-01 00:00:00,10.0,10.5,3.0,19.0,5.5,7.0,13.0,4.0,23.0,10.0
2015-01-01 00:15:00,8.0,8.0,2.0,13.0,3.0,6.0,11.0,2.0,19.0,7.0
2015-01-01 00:30:00,7.0,8.0,2.0,11.0,3.0,4.0,9.0,2.0,14.0,4.5
2015-01-01 00:45:00,6.0,7.0,2.0,9.0,2.0,4.0,8.0,1.0,12.0,3.0
2015-01-01 01:00:00,5.0,6.0,1.0,7.0,1.0,4.0,8.0,1.0,9.0,3.0
2015-01-01 01:15:00,5.0,5.0,1.0,6.0,1.0,3.0,6.0,1.0,8.0,2.0
2015-01-01 01:30:00,4.0,5.0,1.0,5.0,1.0,2.5,6.0,1.0,6.0,2.0
2015-01-01 01:45:00,3.0,5.0,1.0,5.0,1.0,2.0,5.0,1.0,6.0,2.0
2015-01-01 02:00:00,3.0,4.0,1.0,4.0,1.0,2.0,5.0,1.0,5.0,1.0
2015-01-01 02:15:00,3.0,3.0,1.0,3.5,1.0,1.0,4.0,1.0,4.0,1.0
2015-01-01 02:30:00,2.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0
2015-01-01 02:45:00,2.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,3.0,1.0
2015-01-01 03:00:00,1.0,2.0,0.0,3.0,0.0,1.0,4.0,0.0,3.0,1.0
2015-01-01 03:15:00,1.0,2.0,0.0,3.0,0.0,1.0,4.0,0.0,3.0,1.0
2015-01-01 03:30:00,1.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,1.0
2015-01-01 03:45:00,1.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0
2015-01-01 04:00:00,1.0,2.0,0.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0
2015-01-01 04:15:00,2.0,2.0,0.0,6.0,1.0,1.0,2.0,0.0,3.0,1.0
2015-01-01 04:30:00,2.0,2.0,0.0,10.0,2.0,1.0,2.0,1.0,3.0,1.0
2015-01-01 04:45:00,3.0,4.0,1.0,12.0,3.0,1.0,2.0,1.0,4.0,1.0
2015-01-01 05:00:00,3.0,4.0,1.0,16.0,5.0,1.0,3.0,2.0,5.0,1.0
2015-01-01 05:15:00,4.0,5.0,0.0,20.0,7.0,2.0,3.0,2.0,5.0,1.0
2015-01-01 05:30:00,6.0,5.0,1.0,28.0,12.0,2.0,4.0,3.0,11.0,2.0
2015-01-01 05:45:00,8.0,8.0,1.0,40.0,23.0,3.0,5.0,3.0,15.0,3.0
2015-01-01 06:00:00,9.0,7.0,1.0,58.0,44.0,4.0,7.0,5.0,22.0,7.0
2015-01-01 06:15:00,14.0,11.0,2.0,79.0,71.0,5.0,9.0,7.0,37.0,13.0
2015-01-01 06:30:00,18.0,16.0,3.0,107.0,111.0,8.0,12.0,9.0,58.0,30.0
2015-01-01 06:45:00,23.0,22.0,5.0,131.0,148.0,10.0,20.0,12.0,62.0,39.0
2015-01-01 07:00:00,25.0,21.0,8.0,149.0,172.0,15.0,21.0,15.0,66.0,43.0
2015-01-01 07:15:00,30.0,26.0,10.0,157.5,184.5,19.0,29.0,19.0,85.5,62.0
2015-01-01 07:30:00,34.0,32.5,13.0,174.5,206.0,29.0,39.5,28.0,98.0,81.0
2015-01-01 07:45:00,43.0,46.0,24.0,181.5,218.0,41.0,49.0,38.0,113.0,109.0
2015-01-01 08:00:00,45.0,46.0,22.0,169.0,209.5,45.0,55.0,54.0,104.0,103.5
2015-01-01 08:15:00,48.0,55.0,26.0,167.0,205.0,59.0,65.0,54.0,103.0,103.0
2015-01-01 08:30:00,53.0,55.0,25.0,162.0,202.0,54.0,66.0,58.0,101.0,100.0
2015-01-01 08:45:00,54.0,61.0,25.0,165.0,203.0,45.0,57.0,46.0,100.0,94.0
2015-01-01 09:00:00,48.0,51.0,21.0,155.0,189.0,37.0,52.0,35.0,92.0,77.0
