,02_1,03_1,05_1,05_2,06_1,07_1,09_1,09_2,11_1,11_2,11_3,12_1,65_1,65_2,66_1,67_1,67_2,68_1,69_1,70_1,71_1,71_2
2015-01-01 00:00:00,5.0,2.0,9.0,4.0,2.0,6.0,6.0,3.0,9.0,20.0,7.0,4.0,14.0,4.0,3.0,1.0,1.0,5.0,1.0,10.0,20.0,7.0
2015-01-01 00:15:00,3.0,1.0,7.0,3.0,2.0,5.0,4.0,2.0,7.0,13.0,5.0,3.0,11.0,3.0,2.0,1.0,1.0,4.0,1.0,8.0,14.0,5.0
2015-01-01 00:30:00,3.0,1.0,6.0,2.0,1.0,4.0,3.0,2.0,6.0,11.0,3.0,2.0,9.0,3.0,2.0,1.0,0.0,3.0,0.0,7.0,11.0,3.0
2015-01-01 00:45:00,3.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,8.0,2.0,2.0,7.0,2.0,1.5,1.0,0.0,3.0,0.0,4.0,9.0,2.0
2015-01-01 01:00:00,3.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,7.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,3.0,0.0,4.0,7.0,2.0
2015-01-01 01:15:00,2.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,3.0,6.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,6.0,1.0
2015-01-01 01:30:00,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,5.0,1.0
2015-01-01 01:45:00,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,1.0
2015-01-01 02:00:00,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0
2015-01-01 02:15:00,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.5,0.0,2.0,3.0,0.0
2015-01-01 02:30:00,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
2015-01-01 02:45:00,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0
2015-01-01 03:00:00,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0
2015-01-01 03:15:00,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0
2015-01-01 03:30:00,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
