location,type,starttime,endtime,coords
Den Haag-Rotterdam,aanrijding met een persoon,2019-03-29 15:06,2019-03-29 17:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-03-27 18:14,2019-03-27 18:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-03-26 20:45,2019-03-26 21:11,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-03-26 10:47,2019-03-26 12:03,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C; Haarlem-Leiden,seinstoring,2019-03-25 12:24,2019-03-25 23:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,seinstoring,2019-03-25 12:23,2019-03-25 12:23,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,aanrijding met een voertuig,2019-03-24 15:47,2019-03-24 16:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),verstoring elders,2019-03-24 13:18,2019-03-24 13:18,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),aanrijding met een persoon,2019-03-24 12:51,2019-03-24 12:51,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,aanrijding met een persoon,2019-03-24 12:34,2019-03-24 14:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),seinstoring,2019-03-22 13:59,2019-03-22 13:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,seinstoring,2019-03-22 13:07,2019-03-22 15:12,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,gestrande trein,2019-03-19 13:24,2019-03-19 13:37,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,inzet van hulpdiensten,2019-03-18 17:52,2019-03-18 18:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-03-11 15:56,2019-03-11 16:25,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,aanrijding met een persoon,2019-03-05 20:00,2019-03-05 00:24,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
